Movie Name,Rating,Votes,Duration (minutes)
1. Kraven the Hunter,5.4, 44K,127
2. Gladiator II,5.4, 44K,148
3. Sonic the Hedgehog 3,5.4, 44K,110
4. Venom: The Last Dance,5.4, 44K,110
5. Dune: Part Two,5.4, 44K,166
6. Pushpa: The Rule - Part 2,5.4, 44K,201
7. William Tell,5.4, 44K,133
8. Elevation,5.4, 44K,91
9. The Lord of the Rings: The War of the Rohirrim,5.4, 44K,134
10. The Ministry of Ungentlemanly Warfare,5.4, 44K,122
11. Furiosa: A Mad Max Saga,5.4, 44K,148
12. Deadpool & Wolverine,5.4, 44K,128
13. Borderlands,5.4, 44K,101
14. Hellboy: The Crooked Man,5.4, 44K,99
15. Twisters,5.4, 44K,122
16. Civil War,5.4, 44K,109
17. Old Guy,5.4, 44K,94
18. The Count of Monte-Cristo,5.4, 44K,178
19. The Beekeeper,5.4, 44K,105
20. Carry-On,5.4, 44K,119
21. Marco,5.4, 44K,145
22. The Fall Guy,5.4, 44K,126
23. Rebel Ridge,5.4, 44K,131
24. Homestead,5.4, 44K,112
25. The Crow,5.4, 44K,111
26. Thelma,5.4, 44K,98
27. Kingdom of the Planet of the Apes,5.4, 44K,145
28. Road House,5.4, 44K,121
29. Red One,5.4, 44K,123
30. Transformers One,5.4, 44K,104
31. Solo Leveling: ReAwakening,5.4, 44K,121
32. Bad Boys: Ride or Die,5.4, 44K,115
33. Love Lies Bleeding,5.4, 44K,104
34. Damsel,5.4, 44K,110
35. Land of Bad,5.4, 44K,113
36. The Killer's Game,5.4, 44K,104
37. Argylle,5.4, 44K,139
38. Madame Web,5.4, 44K,116
39. Godzilla x Kong: The New Empire,5.4, 44K,115
40. Dirty Angels,5.4, 44K,104
41. The Union,5.4, 44K,107
42. Monkey Man,5.4, 44K,121
43. Aftermath,5.4, 44K,97
44. Azrael,5.4, 44K,86
45. Freaky Tales,5.4, 44K,106
46. Attack on Titan the Movie: The Last Attack,5.4, 44K,145
47. Drive-Away Dolls,5.4, 44K,84
