Movie Name,Rating,Votes,Duration (minutes)
1. Anora,7.6, 151K,139
2. The Brutalist,7.6, 151K,216
3. The Substance,7.6, 151K,141
4. Conclave,7.6, 151K,120
5. A Complete Unknown,7.6, 151K,141
6. I'm Still Here,7.6, 151K,137
7. A Real Pain,7.6, 151K,90
8. Emilia Pérez,7.6, 151K,132
9. Gladiator II,7.6, 151K,148
10. Babygirl,7.6, 151K,114
11. Queen of the Ring,7.6, 151K,140
12. The Apprentice,7.6, 151K,122
13. Presence,7.6, 151K,84
14. Dune: Part Two,7.6, 151K,166
15. Parthenope,7.6, 151K,137
16. Pushpa: The Rule - Part 2,7.6, 151K,201
17. Mufasa: The Lion King,7.6, 151K,118
18. William Tell,7.6, 151K,133
19. September 5,7.6, 151K,95
20. The Order,7.6, 151K,116
21. It Ends with Us,7.6, 151K,130
22. The Lord of the Rings: The War of the Rohirrim,7.6, 151K,134
23. Nickel Boys,7.6, 151K,140
24. We Live in Time,7.6, 151K,108
25. The Last Showgirl,7.6, 151K,88
26. Juror #2,7.6, 151K,114
27. The Life of Chuck,7.6, 151K,110
28. Here,7.6, 151K,104
29. Horizon: An American Saga - Chapter 1,7.6, 151K,181
30. Saturday Night,7.6, 151K,109
31. Speak No Evil,7.6, 151K,110
32. The Count of Monte-Cristo,7.6, 151K,178
33. Megalopolis,7.6, 151K,138
34. Queer,7.6, 151K,137
35. The Fall Guy,7.6, 151K,126
36. The Six Triple Eight,7.6, 151K,127
37. Rebel Ridge,7.6, 151K,131
38. A Different Man,7.6, 151K,112
39. Kinds of Kindness,7.6, 151K,164
40. Inside Out 2,7.6, 151K,96
41. Joker: Folie à Deux,7.6, 151K,138
42. Small Things Like These,7.6, 151K,98
43. Homestead,7.6, 151K,112
44. Maria,7.6, 151K,124
45. The Girl with the Needle,7.6, 151K,123
46. Kingdom of the Planet of the Apes,7.6, 151K,145
47. Road House,7.6, 151K,121
48. Memoir of a Snail,7.6, 151K,95
49. The Seed of the Sacred Fig,7.6, 151K,167
50. Superboys of Malegaon,7.6, 151K,127
51. The Outrun,7.6, 151K,118
52. A Quiet Place: Day One,7.6, 151K,99
53. My Old Ass,7.6, 151K,89
54. The Room Next Door,7.6, 151K,107
55. IF,7.6, 151K,104
56. Lucky Baskhar,7.6, 151K,148
57. Caddo Lake,7.6, 151K,103
58. The Return,7.6, 151K,116
59. In a Violent Nature,7.6, 151K,94
60. I Saw the TV Glow,7.6, 151K,100
61. The Idea of You,7.6, 151K,115
62. All We Imagine as Light,7.6, 151K,118
