Movie Name,Rating,Votes,Duration (minutes)
1. Heretic,7.0, 119K,111
2. The Substance,7.0, 119K,141
3. Nosferatu,7.0, 119K,132
4. Trap,7.0, 119K,105
5. Presence,7.0, 119K,84
6. Longlegs,7.0, 119K,101
7. Smile 2,7.0, 119K,127
8. Alien: Romulus,7.0, 119K,119
9. Hellboy: The Crooked Man,7.0, 119K,99
10. Night of the Zoopocalypse,7.0, 119K,91
11. Speak No Evil,7.0, 119K,110
12. MaXXXine,7.0, 119K,103
13. The Watchers,7.0, 119K,102
14. Abigail,7.0, 119K,109
15. Kinds of Kindness,7.0, 119K,164
16. Beetlejuice Beetlejuice,7.0, 119K,105
17. The Crow,7.0, 119K,111
18. The Rule of Jenny Pen,7.0, 119K,104
19. Terrifier 3,7.0, 119K,125
20. Oddity,7.0, 119K,98
21. Nightbitch,7.0, 119K,99
22. A Quiet Place: Day One,7.0, 119K,99
23. In a Violent Nature,7.0, 119K,94
24. I Saw the TV Glow,7.0, 119K,100
25. Cuckoo,7.0, 119K,102
26. Rumours,7.0, 119K,104
27. Don't Move,7.0, 119K,92
28. Azrael,7.0, 119K,86
29. Immaculate,7.0, 119K,89
30. Y2K,7.0, 119K,91
31. The Shrouds,7.0, 119K,119
32. The First Omen,7.0, 119K,119
33. Werewolves,7.0, 119K,93
34. We Bury the Dead,7.0, 119K,94
35. Salem's Lot,7.0, 119K,114
36. Arcadian,7.0, 119K,92
37. Apartment 7A,7.0, 119K,107
38. MadS,7.0, 119K,89
39. Apocalypse Z: The Beginning of the End,7.0, 119K,117
40. Get Away,7.0, 119K,86
41. Your Monster,7.0, 119K,103
42. Time Cut,7.0, 119K,91
43. The Devil's Bath,7.0, 119K,121
44. Winnie-the-Pooh: Blood and Honey 2,7.0, 119K,93
45. Tarot,7.0, 119K,92
46. Exhuma,7.0, 119K,134
47. The Deliverance,7.0, 119K,112
48. The Damned,7.0, 119K,89
49. Afraid,7.0, 119K,84
50. Stree 2: Sarkate Ka Aatank,7.0, 119K,147
51. Things Will Be Different,7.0, 119K,102
52. Grafted,7.0, 119K,96
