Movie Name,Rating,Votes,Duration (minutes),Genre
1. Kraven the Hunter,5.4, 44K,127.0,action
2. Gladiator II,5.4, 44K,148.0,action
3. Sonic the Hedgehog 3,5.4, 44K,110.0,action
4. Venom: The Last Dance,5.4, 44K,110.0,action
5. Dune: Part Two,5.4, 44K,166.0,action
6. Pushpa: The Rule - Part 2,5.4, 44K,201.0,action
7. William Tell,5.4, 44K,133.0,action
8. Elevation,5.4, 44K,91.0,action
9. The Lord of the Rings: The War of the Rohirrim,5.4, 44K,134.0,action
10. The Ministry of Ungentlemanly Warfare,5.4, 44K,122.0,action
11. Furiosa: A Mad Max Saga,5.4, 44K,148.0,action
12. Deadpool & Wolverine,5.4, 44K,128.0,action
13. Borderlands,5.4, 44K,101.0,action
14. Hellboy: The Crooked Man,5.4, 44K,99.0,action
15. Twisters,5.4, 44K,122.0,action
16. Civil War,5.4, 44K,109.0,action
17. Old Guy,5.4, 44K,94.0,action
18. The Count of Monte-Cristo,5.4, 44K,178.0,action
19. The Beekeeper,5.4, 44K,105.0,action
20. Carry-On,5.4, 44K,119.0,action
21. Marco,5.4, 44K,145.0,action
22. The Fall Guy,5.4, 44K,126.0,action
23. Rebel Ridge,5.4, 44K,131.0,action
24. Homestead,5.4, 44K,112.0,action
25. The Crow,5.4, 44K,111.0,action
26. Thelma,5.4, 44K,98.0,action
27. Kingdom of the Planet of the Apes,5.4, 44K,145.0,action
28. Road House,5.4, 44K,121.0,action
29. Red One,5.4, 44K,123.0,action
30. Transformers One,5.4, 44K,104.0,action
31. Solo Leveling: ReAwakening,5.4, 44K,121.0,action
32. Bad Boys: Ride or Die,5.4, 44K,115.0,action
33. Love Lies Bleeding,5.4, 44K,104.0,action
34. Damsel,5.4, 44K,110.0,action
35. Land of Bad,5.4, 44K,113.0,action
36. The Killer's Game,5.4, 44K,104.0,action
37. Argylle,5.4, 44K,139.0,action
38. Madame Web,5.4, 44K,116.0,action
39. Godzilla x Kong: The New Empire,5.4, 44K,115.0,action
40. Dirty Angels,5.4, 44K,104.0,action
41. The Union,5.4, 44K,107.0,action
42. Monkey Man,5.4, 44K,121.0,action
43. Aftermath,5.4, 44K,97.0,action
44. Azrael,5.4, 44K,86.0,action
45. Freaky Tales,5.4, 44K,106.0,action
46. Attack on Titan the Movie: The Last Attack,5.4, 44K,145.0,action
47. Drive-Away Dolls,5.4, 44K,84.0,action
48. Werewolves,5.4, 44K,93.0,action
49. Uglies,5.4, 44K,100.0,action
50. Kung Fu Panda 4,5.4, 44K,94.0,action
51. Absolution,5.4, 44K,112.0,action
52. Arcadian,5.4, 44K,92.0,action
53. Blitz,5.4, 44K,120.0,action
54. The Instigators,5.4, 44K,101.0,action
55. Lift,5.4, 44K,107.0,action
56. Beverly Hills Cop: Axel F,5.4, 44K,118.0,action
57. The Killer,5.4, 44K,126.0,action
58. Hitpig,5.4, 44K,86.0,action
59. Apocalypse Z: The Beginning of the End,5.4, 44K,117.0,action
60. The Silent Hour,5.4, 44K,99.0,action
61. Maharaja,5.4, 44K,141.0,action
62. Classified,5.4, 44K,105.0,action
63. Kalki 2898 AD,5.4, 44K,180.0,action
64. Descendants: The Rise of Red,5.4, 44K,91.0,action
65. Brothers,5.4, 44K,89.0,action
66. Atlas,5.4, 44K,118.0,action
67. Canary Black,5.4, 44K,101.0,action
68. Baby John,5.4, 44K,159.0,action
69. Survive,5.4, 44K,90.0,action
70. Long Gone Heroes,5.4, 44K,101.0,action
71. Weekend in Taipei,5.4, 44K,100.0,action
72. Watchmen: Chapter I,5.4, 44K,83.0,action
73. Rebel Moon - Part Two: The Scargiver,5.4, 44K,122.0,action
74. Gunner,5.4, 44K,106.0,action
75. Hagen,5.4, 44K,139.0,action
76. Jackpot!,5.4, 44K,106.0,action
77. Cash Out,5.4, 44K,92.0,action
78. Under Paris,5.4, 44K,104.0,action
79. Levels,5.4, 44K,93.0,action
80. Dominique,5.4, 44K,100.0,action
81. The Shadow Strays,5.4, 44K,144.0,action
82. Armor,5.4, 44K,89.0,action
83. Trigger Warning,5.4, 44K,106.0,action
84. Agents,5.4, 44K,82.0,action
85. Twilight of the Warriors: Walled In,5.4, 44K,126.0,action
