Movie Name,Rating,Votes,Duration (minutes)
1. A Complete Unknown,7.4, 59K,141
2. Better Man,7.4, 59K,135
3. Maria,7.4, 59K,124
4. Kneecap,7.4, 59K,105
5. Descendants: The Rise of Red,7.4, 59K,91
6. Back to Black,7.4, 59K,122
7. Find Me Falling,7.4, 59K,93
8. Bob Marley: One Love,7.4, 59K,107
9. Soundtrack to a Coup d'Etat,7.4, 59K,150
10. The Piano Lesson,7.4, 59K,127
11. Midas Man,7.4, 59K,112
12. Monsieur Aznavour,7.4, 59K,133
13. Standing on the Shoulders of Kitties,7.4, 59K,111
14. The Greatest Hits,7.4, 59K,94
15. This Is Me... Now,7.4, 59K,65
16. GHOST: Rite Here Rite Now,7.4, 59K,145
17. Boléro,7.4, 59K,120
18. Luther: Never Too Much,7.4, 59K,101
19. Doraemon the Movie: Nobita's Earth Symphony,7.4, 59K,115
20. Yacht Rock: A Dockumentary,7.4, 59K,95
21. Amar Singh Chamkila,7.4, 59K,145
22. Avicii - I'm Tim,7.4, 59K,95
23. The Greatest Night in Pop,7.4, 59K,96
24. Elton John: Never Too Late,7.4, 59K,102
25. Beatles '64,7.4, 59K,106
26. Pavements,7.4, 59K,128
27. Music by John Williams,7.4, 59K,105
28. The Colors Within,7.4, 59K,101
29. Música,7.4, 59K,91
30. Andrea Bocelli 30: The Celebration,7.4, 59K,148
31. Nova & Alice,7.4, 59K,110
32. Gloria!,7.4, 59K,106
33. Saturn Return,7.4, 59K,109
34. I Am: Celine Dion,7.4, 59K,103
35. ZEF: The Story of Die Antwoord,7.4, 59K,90
36. The Neon Highway,7.4, 59K,113
37. The Beach Boys,7.4, 59K,113
38. Deaner '89,7.4, 59K,90
39. Off the Record,7.4, 59K,95
40. The Extraordinary Miss Flower,7.4, 59K,73
"41. Disco, Ibiza, Locomia",7.4, 59K,104
42. Stelios,7.4, 59K,132
43. No Hamburg No Beatles,7.4, 59K,55
44. Return of the King: The Fall and Rise of Elvis Presley,7.4, 59K,90
45. Beautiful Rebel,7.4, 59K,112
46. Boxcutter,7.4, 59K,93
47. Becoming Madonna,7.4, 59K,91
48. Blur: To the End,7.4, 59K,104
49. American Dream: The 21 Savage Story,7.4, 59K,N/A
50. Janis Ian: Breaking Silence,7.4, 59K,114
51. Diddy: Summit to Plummet,7.4, 59K,60
52. If Jack Reacher Could Sing,7.4, 59K,31
53. Technoboys,7.4, 59K,109
54. Singing in My Sleep,7.4, 59K,92
55. Mogwai: If the Stars Had a Sound,7.4, 59K,92
56. Diane Warren: Relentless,7.4, 59K,91
57. Gaga Chromatica Ball,7.4, 59K,117
58. Given 3: To the Sea,7.4, 59K,80
59. La guitarra flamenca de Yerai Cortés,7.4, 59K,95
60. La Grande,7.4, 59K,95
61. Eno,7.4, 59K,85
62. Jung Kook: I Am Still,7.4, 59K,90
63. Ol' Dirty Bastard: A Tale of Two Dirtys,7.4, 59K,N/A
64. Andhagan,7.4, 59K,142
65. No Cap,7.4, 59K,108
66. Devo,7.4, 59K,90
67. Tears of Cem Karaca,7.4, 59K,123
68. Bocchi the Rock! Re:,7.4, 59K,90
69. A Fragile Flower,7.4, 59K,96
70. The Entertainer,7.4, 59K,N/A
71. Peaches Goes Bananas,7.4, 59K,73
72. Movie Given Hiiragi Mix.,7.4, 59K,70
73. Zim Zim Ala Kazim,7.4, 59K,100
"74. Düsseldorf, Skåne",7.4, 59K,94
75. Amaltash,7.4, 59K,113
