Movie Name,Rating,Votes,Duration (minutes)
1. Nosferatu,7.3, 178K,132
2. Trap,7.3, 178K,105
3. Blink Twice,7.3, 178K,102
4. Smile 2,7.3, 178K,127
5. Paddington in Peru,7.3, 178K,106
6. Juror #2,7.3, 178K,114
7. Hellboy: The Crooked Man,7.3, 178K,99
8. The Watchers,7.3, 178K,102
9. F*** Marry Kill,7.3, 178K,97
10. The Rule of Jenny Pen,7.3, 178K,104
11. Red One,7.3, 178K,123
12. Love Lies Bleeding,7.3, 178K,104
13. It's What's Inside,7.3, 178K,103
14. Caddo Lake,7.3, 178K,103
15. Cuckoo,7.3, 178K,102
16. Absolution,7.3, 178K,112
17. Sleeping Dogs,7.3, 178K,110
18. The Instigators,7.3, 178K,101
19. Time Cut,7.3, 178K,91
20. Killer Heat,7.3, 178K,95
21. Exhuma,7.3, 178K,134
22. Long Gone Heroes,7.3, 178K,101
23. The Damned,7.3, 178K,89
24. Afraid,7.3, 178K,84
25. Force of Nature: The Dry 2,7.3, 178K,120
26. Watchmen: Chapter I,7.3, 178K,83
27. Sookshma Darshini,7.3, 178K,142
28. Kishkindha Kaandam,7.3, 178K,133
29. Monster Summer,7.3, 178K,97
30. Die Alone,7.3, 178K,91
31. Blackwater Lane,7.3, 178K,108
32. Night Swim,7.3, 178K,98
33. Boneyard,7.3, 178K,96
34. A Sacrifice,7.3, 178K,94
35. The Girl in the Pool,7.3, 178K,89
36. Outbreak,7.3, 178K,88
37. The Dead Thing,7.3, 178K,94
38. Watchmen: Chapter II,7.3, 178K,90
39. The Lost Daughter,7.3, 178K,99
40. Skincare,7.3, 178K,96
41. Imaginary,7.3, 178K,104
42. Orion and the Dark,7.3, 178K,93
43. Damaged,7.3, 178K,97
44. Handling the Undead,7.3, 178K,97
45. The Best Christmas Pageant Ever,7.3, 178K,99
46. Reunion,7.3, 178K,90
47. Turtles All the Way Down,7.3, 178K,111
48. Colors of Evil: Red,7.3, 178K,111
49. The Redemption of Sin,7.3, 178K,116
50. Faultline,7.3, 178K,92
51. The Sand Castle,7.3, 178K,98
52. Depravity,7.3, 178K,117
53. City Hunter,7.3, 178K,102
54. Pedro Páramo,7.3, 178K,130
55. Drugstore June,7.3, 178K,91
56. Do Patti,7.3, 178K,126
57. The American Backyard,7.3, 178K,107
58. Badland Hunters,7.3, 178K,107
59. The Soul Eater,7.3, 178K,108
60. The Tiger's Apprentice,7.3, 178K,84
61. Sikandar Ka Muqaddar,7.3, 178K,142
62. Drive Back,7.3, 178K,94
63. The Price of Money: A Largo Winch Adventure,7.3, 178K,100
64. Desert Fiends,7.3, 178K,106
65. The Image of You,7.3, 178K,90
66. Golam,7.3, 178K,120
67. Strictly Confidential,7.3, 178K,94
68. Cult Killer,7.3, 178K,105
69. Karma,7.3, 178K,167
70. Bougainvillea,7.3, 178K,138
71. A Place Called Silence,7.3, 178K,119
72. Hidden Face,7.3, 178K,115
73. Cinderella's Curse,7.3, 178K,82
74. Rippy,7.3, 178K,83
75. Inheritance,7.3, 178K,94
76. Crescent City,7.3, 178K,103
77. Dan Da Dan: First Encounter,7.3, 178K,83
78. Witchboard,7.3, 178K,115
79. American Star,7.3, 178K,107
80. Perewangan,7.3, 178K,109
81. #AMFAD: All My Friends Are Dead,7.3, 178K,91
82. Mr. K,7.3, 178K,94
83. Compulsion,7.3, 178K,94
84. Cinderella's Revenge,7.3, 178K,85
85. Cellphone,7.3, 178K,88
86. Thalavan,7.3, 178K,131
87. Bloodline Killer,7.3, 178K,105
88. Revolver,7.3, 178K,114
89. The Hangman,7.3, 178K,92
90. Believer,7.3, 178K,108
91. Held Hostage in My House,7.3, 178K,90
92. Arcadia,7.3, 178K,99
93. Anweshippin Kandethum,7.3, 178K,142
94. Saint Clare,7.3, 178K,92
95. Killer Body Count,7.3, 178K,109
96. Dark Night of the Soul,7.3, 178K,81
97. The Monster Beneath Us,7.3, 178K,103
98. Séance Games: Metaxu,7.3, 178K,86
99. The Private Eye,7.3, 178K,115
100. Last Stop: Rocafort St.,7.3, 178K,89
101. Karma's a Bitch,7.3, 178K,89
102. Heresy,7.3, 178K,61
103. Merry Christmas,7.3, 178K,144
104. What Happened to Suzy,7.3, 178K,94
105. Black,7.3, 178K,115
106. Triumph,7.3, 178K,98
107. Mononoke the Movie: The Phantom in the Rain,7.3, 178K,89
108. Salawahan,7.3, 178K,116
109. Following,7.3, 178K,102
110. The Manifestation,7.3, 178K,84
111. ClearMind,7.3, 178K,85
112. Murder Mubarak,7.3, 178K,140
113. They Called Him Mostly Harmless,7.3, 178K,89
114. Go Away,7.3, 178K,N/A
115. Stupid Games,7.3, 178K,86
116. Gazer,7.3, 178K,114
117. Phir Aayi Hasseen Dillruba,7.3, 178K,132
118. Chapel,7.3, 178K,92
119. From Darkness,7.3, 178K,95
120. Bone Lake,7.3, 178K,94
121. Borderless Fog,7.3, 178K,110
122. The Stalking,7.3, 178K,72
