Movie Name,Rating,Votes,Duration (minutes)
1. Anora,7.6, 152K,139
2. Wicked,7.6, 152K,160
3. Babygirl,7.6, 152K,114
4. It Ends with Us,7.6, 152K,130
5. We Live in Time,7.6, 152K,108
6. The Count of Monte-Cristo,7.6, 152K,178
7. Queer,7.6, 152K,137
8. The Fall Guy,7.6, 152K,126
9. F*** Marry Kill,7.6, 152K,97
10. The Crow,7.6, 152K,111
11. Fly Me to the Moon,7.6, 152K,132
12. Love Lies Bleeding,7.6, 152K,104
13. My Old Ass,7.6, 152K,89
14. The Idea of You,7.6, 152K,115
15. All We Imagine as Light,7.6, 152K,118
16. A Family Affair,7.6, 152K,111
17. Sidelined: The QB and Me,7.6, 152K,99
18. Culpa Tuya,7.6, 152K,118
19. Beating Hearts,7.6, 152K,166
20. Your Monster,7.6, 152K,103
21. Jane Austen Wrecked My Life,7.6, 152K,94
22. Killer Heat,7.6, 152K,95
23. Guilty Pleasure,7.6, 152K,119
24. Emmanuelle,7.6, 152K,107
25. Loveable,7.6, 152K,101
26. Young Woman and the Sea,7.6, 152K,129
27. Lonely Planet,7.6, 152K,94
28. A Nice Indian Boy,7.6, 152K,96
29. Grafted,7.6, 152K,96
30. Find Me Falling,7.6, 152K,93
31. Love Me,7.6, 152K,91
32. Someone Like You,7.6, 152K,118
33. Upgraded,7.6, 152K,104
34. Boot Camp,7.6, 152K,94
35. La Cocina,7.6, 152K,139
36. Lisa Frankenstein,7.6, 152K,101
37. We're All Gonna Die,7.6, 152K,110
38. The Tearsmith,7.6, 152K,103
39. Touch,7.6, 152K,121
40. Mother of the Bride,7.6, 152K,88
41. Die Alone,7.6, 152K,91
42. Girl Haunts Boy,7.6, 152K,100
43. Mon Potongo,7.6, 152K,149
44. Lilies Not for Me,7.6, 152K,99
45. Irish Wish,7.6, 152K,93
46. Chosen Family,7.6, 152K,88
47. Winter Spring Summer or Fall,7.6, 152K,97
48. Players,7.6, 152K,105
49. Swap,7.6, 152K,86
50. Our Little Secret,7.6, 152K,101
51. Five Blind Dates,7.6, 152K,83
52. The Dead Thing,7.6, 152K,94
53. Ask Me What You Want,7.6, 152K,114
54. My Favourite Cake,7.6, 152K,97
55. Grand Tour,7.6, 152K,128
56. Girls Will Be Girls,7.6, 152K,118
57. The Best Christmas Pageant Ever,7.6, 152K,99
58. Lick,7.6, 152K,75
59. Turn Me On,7.6, 152K,99
60. Role Play,7.6, 152K,100
61. How to Date Billy Walsh,7.6, 152K,98
62. Turtles All the Way Down,7.6, 152K,111
63. Beautiful Wedding,7.6, 152K,100
64. Vulgar,7.6, 152K,103
65. The Merry Gentlemen,7.6, 152K,87
66. Gone Running,7.6, 152K,105
67. City Hunter,7.6, 152K,102
68. Pedro Páramo,7.6, 152K,130
69. The Greatest Hits,7.6, 152K,94
70. This Is Me... Now,7.6, 152K,65
71. This Time Next Year,7.6, 152K,116
72. You Are the Apple of My Eye,7.6, 152K,101
73. Through My Window: Looking at You,7.6, 152K,105
74. Take My Hand,7.6, 152K,102
75. Romance on the Ranch,7.6, 152K,88
76. Darkest Miriam,7.6, 152K,87
77. Hot Frosty,7.6, 152K,92
78. Marmalade,7.6, 152K,99
79. High Tide,7.6, 152K,101
80. Wallbanger,7.6, 152K,118
81. Three Friends,7.6, 152K,117
82. Timestalker,7.6, 152K,89
83. The Astronaut Lovers,7.6, 152K,116
84. A True Gentleman,7.6, 152K,110
85. The Silence of Marcos Tremmer,7.6, 152K,112
86. Cinderella's Curse,7.6, 152K,82
87. Plan B,7.6, 152K,90
88. Premalu,7.6, 152K,156
89. Qalb,7.6, 152K,147
90. Amar Singh Chamkila,7.6, 152K,145
91. 5lbs of Pressure,7.6, 152K,111
92. Freedom,7.6, 152K,110
93. The Family Star,7.6, 152K,159
94. I Can Never Be Yours,7.6, 152K,N/A
95. Sex,7.6, 152K,125
96. Young Werther,7.6, 152K,101
97. Love in the Big City,7.6, 152K,118
98. Cinderella's Revenge,7.6, 152K,85
99. Layla,7.6, 152K,100
100. The Air He Breathes,7.6, 152K,106
101. The Southern Chronicles,7.6, 152K,120
102. Drained,7.6, 152K,107
103. Perfect Endings,7.6, 152K,100
104. The Groomsmen: First Look,7.6, 152K,82
105. The Lifeguards,7.6, 152K,107
106. Two to One,7.6, 152K,116
107. Savi,7.6, 152K,126
108. Love,7.6, 152K,119
109. Now or Never!,7.6, 152K,N/A
110. Teri Baaton Mein Aisa Uljha Jiya,7.6, 152K,141
111. My Name Is Loh Kiwan,7.6, 152K,131
112. Christmas Cowboy,7.6, 152K,N/A
113. Haunted Heart,7.6, 152K,128
114. Still Fabulous,7.6, 152K,92
115. The Glassworker,7.6, 152K,98
116. Her Story,7.6, 152K,123
117. Bonjour Tristesse,7.6, 152K,110
118. The Groomsmen Last Dance,7.6, 152K,N/A
119. Another End,7.6, 152K,129
120. Música,7.6, 152K,91
121. Uranus 2324,7.6, 152K,130
122. Books & Drinks,7.6, 152K,94
123. Previously Saved Version,7.6, 152K,117
124. Langue Étrangère,7.6, 152K,101
125. Intoxicated by Love,7.6, 152K,118
126. The Private Eye,7.6, 152K,115
127. Bau: Artist at War,7.6, 152K,130
128. Private Tutor,7.6, 152K,65
"129. Hello, Love, Again",7.6, 152K,122
130. Good Bad Things,7.6, 152K,96
131. Meet Me Next Christmas,7.6, 152K,105
132. No Pressure,7.6, 152K,111
133. Eks,7.6, 152K,121
134. Karma's a Bitch,7.6, 152K,89
135. Wild Wild Punjab,7.6, 152K,109
136. Daniela Forever,7.6, 152K,113
137. Futra Days,7.6, 152K,99
138. Love Across Time,7.6, 152K,N/A
139. From Contract Lover to the Billionaire's Bride,7.6, 152K,84
"140. Love, Divided",7.6, 152K,98
141. Love Reddy,7.6, 152K,138
142. Mr. Manhattan,7.6, 152K,110
143. Passport to Love,7.6, 152K,88
144. Undergrads,7.6, 152K,66
145. Believe in Christmas,7.6, 152K,90
146. Stag,7.6, 152K,87
147. A Christmas Castle Proposal: A Royal in Paradise 2,7.6, 152K,N/A
148. Breakup Season,7.6, 152K,102
149. The Holiday Junkie,7.6, 152K,88
150. The Groomsmen: Second Chances,7.6, 152K,84
151. Mascarpone: The Rainbow Cake,7.6, 152K,105
152. Bad Newz,7.6, 152K,142
153. 18×2 Beyond Youthful Days,7.6, 152K,123
154. Why Do You?,7.6, 152K,103
155. Duino,7.6, 152K,108
156. Rasavathi,7.6, 152K,148
157. Bachhala Malli,7.6, 152K,140
158. Lesbian Space Princess,7.6, 152K,87
159. He Loves Me Not,7.6, 152K,N/A
160. Murder Mubarak,7.6, 152K,140
161. Super Happy Forever,7.6, 152K,94
162. She Taught Love,7.6, 152K,102
163. Gharjwai,7.6, 152K,134
164. Sicilian Holiday,7.6, 152K,102
