Movie Name,Rating,Votes,Duration (minutes)
1. William Tell,5.8, 1.7K,133
2. The Ministry of Ungentlemanly Warfare,5.8, 1.7K,122
3. The Six Triple Eight,5.8, 1.7K,127
4. Dirty Angels,5.8, 1.7K,104
5. My Dead Friend Zoe,5.8, 1.7K,103
6. Nr. 24,5.8, 1.7K,111
7. Blitz,5.8, 1.7K,120
8. Escape from Germany,5.8, 1.7K,97
9. Amaran,5.8, 1.7K,167
10. Uprising,5.8, 1.7K,126
11. Before Dawn,5.8, 1.7K,101
12. Chhava,5.8, 1.7K,51
13. Goebbels and the Führer,5.8, 1.7K,135
14. Laws of Man,5.8, 1.7K,98
15. The Witch: Revenge,5.8, 1.7K,100
16. Murder Company,5.8, 1.7K,86
17. Decoded,5.8, 1.7K,156
18. WWII: Operation Phoenix,5.8, 1.7K,106
19. Without Blood,5.8, 1.7K,91
"20. Love, Courage and the Battle of Bushy Run",5.8, 1.7K,113
21. Quisling: The Final Days,5.8, 1.7K,146
22. Chandu Champion,5.8, 1.7K,142
23. The Last Front,5.8, 1.7K,98
24. Bau: Artist at War,5.8, 1.7K,130
25. Invasion,5.8, 1.7K,91
26. Atatürk II: 1881-1919,5.8, 1.7K,141
"27. Canadian, Sniper",5.8, 1.7K,83
28. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,5.8, 1.7K,174
29. The Volunteers: The Battle of Life and Death,5.8, 1.7K,144
30. The Shamrock Spitfire,5.8, 1.7K,108
31. Battlefield,5.8, 1.7K,104
32. Ka Whawhai Tonu,5.8, 1.7K,115
33. The Friendly,5.8, 1.7K,101
34. Never Alone,5.8, 1.7K,85
35. Orang Ikan,5.8, 1.7K,83
36. The Yin Yang Master Zero,5.8, 1.7K,112
37. Conquer: Lahad Datu,5.8, 1.7K,120
38. Aserb: The Squadron,5.8, 1.7K,120
39. Bozji gnjev,5.8, 1.7K,111
40. Fortunes of War,5.8, 1.7K,85
41. Red Poppies,5.8, 1.7K,122
42. War Blade,5.8, 1.7K,94
43. Ludzie,5.8, 1.7K,117
44. White Courage,5.8, 1.7K,115
45. Kang Mak,5.8, 1.7K,122
46. Klitschko: More Than a Fight,5.8, 1.7K,96
47. Occupied,5.8, 1.7K,77
48. Call of Duty,5.8, 1.7K,N/A
49. The Liberation Men,5.8, 1.7K,90
50. Bardejov,5.8, 1.7K,85
51. 24 Hours to D-Day,5.8, 1.7K,83
"52. Dao, Pho Va Piano",5.8, 1.7K,100
53. The Dugout,5.8, 1.7K,114
54. Air War,5.8, 1.7K,106
55. Duffle Bag Boy,5.8, 1.7K,N/A
56. The Epidemic,5.8, 1.7K,95
57. We Were Recruits,5.8, 1.7K,92
58. Scars,5.8, 1.7K,N/A
59. Russians at War,5.8, 1.7K,129
60. Haywire: Gunslingers,5.8, 1.7K,85
61. Hengyang 1944,5.8, 1.7K,N/A
62. The Mousetrap,5.8, 1.7K,87
"63. America, Invaded",5.8, 1.7K,82
64. Burning Stars,5.8, 1.7K,84
65. The Dakota War: Attack on Fort Ridgely,5.8, 1.7K,80
66. Drava se ne predaje,5.8, 1.7K,N/A
67. October 7 - Al Jazeera Investigations,5.8, 1.7K,60
68. Hitler,5.8, 1.7K,128
69. The Deserter,5.8, 1.7K,93
70. Blood Vendetta,5.8, 1.7K,90
71. Burgemeestersmoord,5.8, 1.7K,N/A
"72. Arlempdes, la légende du premier château de la Loire",5.8, 1.7K,N/A
73. Pozyvnoy «Passazhir»,5.8, 1.7K,101
74. Pidyomna syla,5.8, 1.7K,87
75. Dun huang ying xiong,5.8, 1.7K,N/A
76. Operation Thule,5.8, 1.7K,160
77. Ukraine Mon Amour,5.8, 1.7K,N/A
78. No Tomorrow,5.8, 1.7K,N/A
