Movie Name,Rating,Votes,Duration (minutes)
1. Moana 2,6.7, 87K,100
2. Flow,6.7, 87K,85
3. Gladiator II,6.7, 87K,148
4. Sonic the Hedgehog 3,6.7, 87K,110
5. Venom: The Last Dance,6.7, 87K,110
6. Dune: Part Two,6.7, 87K,166
7. Mufasa: The Lion King,6.7, 87K,118
8. The Lord of the Rings: The War of the Rohirrim,6.7, 87K,134
9. Furiosa: A Mad Max Saga,6.7, 87K,148
10. Deadpool & Wolverine,6.7, 87K,128
11. The Day the Earth Blew Up: A Looney Tunes Movie,6.7, 87K,91
12. Borderlands,6.7, 87K,101
13. Paddington in Peru,6.7, 87K,106
14. Night of the Zoopocalypse,6.7, 87K,91
15. Twisters,6.7, 87K,122
16. Civil War,6.7, 87K,109
17. Despicable Me 4,6.7, 87K,94
18. The Count of Monte-Cristo,6.7, 87K,178
19. Inside Out 2,6.7, 87K,96
20. Kingdom of the Planet of the Apes,6.7, 87K,145
21. Red One,6.7, 87K,123
22. Transformers One,6.7, 87K,104
23. Solo Leveling: ReAwakening,6.7, 87K,121
24. Bad Boys: Ride or Die,6.7, 87K,115
25. Love Lies Bleeding,6.7, 87K,104
26. Damsel,6.7, 87K,110
27. Ghostbusters: Frozen Empire,6.7, 87K,115
28. The Return,6.7, 87K,116
29. Madame Web,6.7, 87K,116
30. Godzilla x Kong: The New Empire,6.7, 87K,115
31. Freaky Tales,6.7, 87K,106
32. Wallace & Gromit: Vengeance Most Fowl,6.7, 87K,82
33. Harold and the Purple Crayon,6.7, 87K,90
34. Attack on Titan the Movie: The Last Attack,6.7, 87K,145
35. Spaceman,6.7, 87K,107
36. Uglies,6.7, 87K,100
37. Kung Fu Panda 4,6.7, 87K,94
38. The Garfield Movie,6.7, 87K,101
39. Hitpig,6.7, 87K,86
40. Kalki 2898 AD,6.7, 87K,180
41. Descendants: The Rise of Red,6.7, 87K,91
42. The Empire,6.7, 87K,110
43. Atlas,6.7, 87K,118
44. Survive,6.7, 87K,90
45. Rebel Moon - Part Two: The Scargiver,6.7, 87K,122
46. Spellbound,6.7, 87K,109
47. Arthur the King,6.7, 87K,107
48. Winner,6.7, 87K,103
49. Monster Summer,6.7, 87K,97
50. Saving Bikini Bottom: The Sandy Cheeks Movie,6.7, 87K,82
51. My Penguin Friend,6.7, 87K,97
52. Family Pack,6.7, 87K,94
53. Lost on a Mountain in Maine,6.7, 87K,98
54. No Way Up,6.7, 87K,90
55. The Unholy Trinity,6.7, 87K,93
56. Bookworm,6.7, 87K,103
57. Megamind vs. The Doom Syndicate,6.7, 87K,83
58. The Goat Life,6.7, 87K,173
59. Orion and the Dark,6.7, 87K,93
60. The Best Christmas Pageant Ever,6.7, 87K,99
61. Something in the Water,6.7, 87K,86
62. Sasquatch Sunset,6.7, 87K,88
63. A Sloth Story,6.7, 87K,90
"64. I, the Executioner",6.7, 87K,118
65. My Hero Academia: You're Next,6.7, 87K,110
66. Justice League: Crisis on Infinite Earths - Part One,6.7, 87K,93
67. River of Blood,6.7, 87K,86
68. That Christmas,6.7, 87K,91
69. Thelma the Unicorn,6.7, 87K,93
70. Badland Hunters,6.7, 87K,107
71. The Courier,6.7, 87K,101
72. Justice League: Crisis on Infinite Earths - Part Three,6.7, 87K,94
73. The Tiger's Apprentice,6.7, 87K,84
74. The Lost Tiger,6.7, 87K,90
75. The Price of Money: A Largo Winch Adventure,6.7, 87K,100
76. No Chains No Masters,6.7, 87K,98
77. Guest from the Future,6.7, 87K,141
78. 200% Wolf,6.7, 87K,98
79. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,6.7, 87K,104
80. The Wages of Fear,6.7, 87K,104
81. Unspeakable: Beyond the Wall of Sleep,6.7, 87K,90
82. Operation Blood Hunt,6.7, 87K,93
83. Ultraman: Rising,6.7, 87K,117
84. Angels Fallen: Warriors of Peace,6.7, 87K,103
85. Cult Killer,6.7, 87K,105
86. Doraemon the Movie: Nobita's Earth Symphony,6.7, 87K,115
87. Golden Kamuy,6.7, 87K,127
88. The Magician's Raincoat,6.7, 87K,N/A
89. Autumn and the Black Jaguar,6.7, 87K,100
90. Manjummel Boys,6.7, 87K,135
91. Woody Woodpecker Goes to Camp,6.7, 87K,100
92. Justice League: Crisis on Infinite Earths - Part Two,6.7, 87K,94
93. WWII: Operation Phoenix,6.7, 87K,106
94. Anaconda,6.7, 87K,84
95. My Fathers' Daughter,6.7, 87K,78
96. Buffalo Kids,6.7, 87K,93
97. Hanu Man,6.7, 87K,158
98. Dragonkeeper,6.7, 87K,98
99. The Forest,6.7, 87K,77
100. The Firing Squad,6.7, 87K,93
101. Sixty Minutes,6.7, 87K,88
102. Escape,6.7, 87K,94
103. The Last Redemption,6.7, 87K,122
104. Crayon Shin-chan: Ora's Dinosaur Diary,6.7, 87K,106
105. My Freaky Family,6.7, 87K,86
106. Meanwhile on Earth,6.7, 87K,89
107. Spiders on a Plane,6.7, 87K,78
108. Bambi: A Tale of Life in the Woods,6.7, 87K,85
109. Now or Never!,6.7, 87K,N/A
110. A Legend,6.7, 87K,129
111. Man and Witch: The Dance of a Thousand Steps,6.7, 87K,94
112. Kanguva,6.7, 87K,152
113. Cells at Work!,6.7, 87K,109
114. The Slave and the Sorcerer,6.7, 87K,86
115. Saint-Exupéry,6.7, 87K,98
116. Storm Crashers,6.7, 87K,88
117. Dalia y el Libro Rojo,6.7, 87K,107
118. Overlord: The Sacred Kingdom,6.7, 87K,135
119. Roadkill,6.7, 87K,90
120. Rebellious,6.7, 87K,94
121. A.R.M,6.7, 87K,150
122. Robin and the Hoods,6.7, 87K,100
123. Eat the Night,6.7, 87K,106
124. War of the Worlds: Extinction,6.7, 87K,84
125. Tanning Zone,6.7, 87K,N/A
126. The Last Ronin,6.7, 87K,121
127. Devil's Knight,6.7, 87K,90
128. Thangalaan,6.7, 87K,156
129. The Twisters,6.7, 87K,86
130. Bade Miyan Chote Miyan,6.7, 87K,163
131. Bionic,6.7, 87K,110
132. Going Viral,6.7, 87K,90
133. School of Magical Animals 3,6.7, 87K,105
134. A Trip Elsewhere,6.7, 87K,93
135. The Last of Us: Immunity,6.7, 87K,64
136. Escape from the 21st Century,6.7, 87K,98
137. Pimpinero: Blood and Oil,6.7, 87K,121
138. Rally Caps,6.7, 87K,100
139. Dreams,6.7, 87K,106
140. My Oni Girl,6.7, 87K,112
141. Never Look Away,6.7, 87K,85
142. Return to Wickensburg,6.7, 87K,88
143. Shrek 5: The Contract - A Fan Made Film,6.7, 87K,84
144. Jathara,6.7, 87K,129
145. The Mountain,6.7, 87K,89
146. Fox & Hare Save the Forest,6.7, 87K,71
147. Noah's Ark,6.7, 87K,96
148. No Time to Spy: A Loud House Movie,6.7, 87K,81
149. Memes & Nightmares,6.7, 87K,81
150. Witch Hunter,6.7, 87K,80
151. Bureau 749,6.7, 87K,123
152. Ayalaan,6.7, 87K,155
153. The Keepers of the 5 Kingdoms,6.7, 87K,109
154. This Too Shall Pass,6.7, 87K,105
155. Panda Bear in Africa,6.7, 87K,84
156. The Kingdom,6.7, 87K,133
157. The Legend Hunters,6.7, 87K,N/A
158. Mobile Suit Gundam SEED Freedom,6.7, 87K,124
159. Gaami,6.7, 87K,147
160. The Phantom Warrior,6.7, 87K,119
161. Odio el verano,6.7, 87K,103
162. Raqa,6.7, 87K,107
163. Ahl Al Kahf,6.7, 87K,120
164. Seven Seas Seven Hills,6.7, 87K,90
165. Road Wars: Max Fury,6.7, 87K,83
