Movie Name,Rating,Votes,Duration (minutes)
1. Moana 2,6.7, 87K,100
2. Flow,6.7, 87K,85
3. The Wild Robot,6.7, 87K,102
4. Mufasa: The Lion King,6.7, 87K,118
5. The Lord of the Rings: The War of the Rohirrim,6.7, 87K,134
6. The Day the Earth Blew Up: A Looney Tunes Movie,6.7, 87K,91
7. Night of the Zoopocalypse,6.7, 87K,91
8. Despicable Me 4,6.7, 87K,94
9. Inside Out 2,6.7, 87K,96
10. Transformers One,6.7, 87K,104
11. Memoir of a Snail,6.7, 87K,95
12. Solo Leveling: ReAwakening,6.7, 87K,121
13. IF,6.7, 87K,104
14. Spermageddon,6.7, 87K,80
15. Wallace & Gromit: Vengeance Most Fowl,6.7, 87K,82
16. Harold and the Purple Crayon,6.7, 87K,90
17. Attack on Titan the Movie: The Last Attack,6.7, 87K,145
18. Kung Fu Panda 4,6.7, 87K,94
19. The Garfield Movie,6.7, 87K,101
20. Hitpig,6.7, 87K,86
21. Watchmen: Chapter I,6.7, 87K,83
22. Spellbound,6.7, 87K,109
23. Look Back,6.7, 87K,58
24. Grand Theft Hamlet,6.7, 87K,89
25. Saving Bikini Bottom: The Sandy Cheeks Movie,6.7, 87K,82
26. Piece by Piece,6.7, 87K,93
27. Watchmen: Chapter II,6.7, 87K,90
28. Megamind vs. The Doom Syndicate,6.7, 87K,83
29. The Remarkable Life of Ibelin,6.7, 87K,103
30. Orion and the Dark,6.7, 87K,93
31. A Sloth Story,6.7, 87K,90
32. My Hero Academia: You're Next,6.7, 87K,110
33. Justice League: Crisis on Infinite Earths - Part One,6.7, 87K,93
34. The Most Precious of Cargoes,6.7, 87K,81
35. That Christmas,6.7, 87K,91
36. Thelma the Unicorn,6.7, 87K,93
37. Justice League: Crisis on Infinite Earths - Part Three,6.7, 87K,94
38. The Tiger's Apprentice,6.7, 87K,84
39. The Lost Tiger,6.7, 87K,90
40. 200% Wolf,6.7, 87K,98
41. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,6.7, 87K,104
42. Ultraman: Rising,6.7, 87K,117
43. 10 Lives,6.7, 87K,88
44. Doraemon the Movie: Nobita's Earth Symphony,6.7, 87K,115
45. Frida,6.7, 87K,87
46. Woody Woodpecker Goes to Camp,6.7, 87K,100
47. Mars,6.7, 87K,84
48. Dan Da Dan: First Encounter,6.7, 87K,83
49. Justice League: Crisis on Infinite Earths - Part Two,6.7, 87K,94
50. Buffalo Kids,6.7, 87K,93
51. Dragonkeeper,6.7, 87K,98
52. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',6.7, 87K,90
53. Crayon Shin-chan: Ora's Dinosaur Diary,6.7, 87K,106
54. My Freaky Family,6.7, 87K,86
55. Limonov: The Ballad of Eddie,6.7, 87K,138
56. The Glassworker,6.7, 87K,98
57. The Colors Within,6.7, 87K,101
58. Johnny Puff: Secret Mission,6.7, 87K,87
59. Ghost Cat Anzu,6.7, 87K,97
60. From Ground Zero,6.7, 87K,112
61. Storm Crashers,6.7, 87K,88
62. Dalia y el Libro Rojo,6.7, 87K,107
63. Overlord: The Sacred Kingdom,6.7, 87K,135
64. Rebellious,6.7, 87K,94
65. Savages,6.7, 87K,87
66. Haikyu!! The Dumpster Battle,6.7, 87K,85
67. The Night Before Christmas in Wonderland,6.7, 87K,80
68. Mononoke the Movie: The Phantom in the Rain,6.7, 87K,89
69. Lesbian Space Princess,6.7, 87K,87
70. Blue Lock: Episode Nagi,6.7, 87K,91
71. Super-Charlie,6.7, 87K,80
72. Ryan's World the Movie: Titan Universe Adventure,6.7, 87K,80
73. My Oni Girl,6.7, 87K,112
74. Kid Santa,6.7, 87K,N/A
75. Shrek 5: The Contract - A Fan Made Film,6.7, 87K,84
76. White Snake: Afloat,6.7, 87K,133
77. Fox & Hare Save the Forest,6.7, 87K,71
78. Noah's Ark,6.7, 87K,96
79. No Time to Spy: A Loud House Movie,6.7, 87K,81
80. The Quintessential Quintuplets Specials 2,6.7, 87K,46
81. Panda Bear in Africa,6.7, 87K,84
82. Boys Go to Jupiter,6.7, 87K,90
83. Xiong Shi Shao Nian 2,6.7, 87K,134
84. Mobile Suit Gundam SEED Freedom,6.7, 87K,124
85. Given 3: To the Sea,6.7, 87K,80
86. Baki Hanma VS Kengan Ashura,6.7, 87K,62
87. Uma Musume: Pretty Derby - Beginning of a New Era,6.7, 87K,108
88. Zak & Wowo: The Legend of Lendarys,6.7, 87K,85
89. Detective Conan: The Million-Dollar Pentagram,6.7, 87K,111
90. Exorcism Chronicles: The Beginning,6.7, 87K,85
91. Rafadan Tayfa: Kapadokya,6.7, 87K,84
92. Gracie and Pedro: Pets to the Rescue,6.7, 87K,87
93. SuperKlaus,6.7, 87K,88
94. Schirkoa: In Lies We Trust,6.7, 87K,103
95. The Casagrandes Movie,6.7, 87K,89
96. Heartsping : Teenieping of Love,6.7, 87K,N/A
97. Diplodocus,6.7, 87K,90
98. Jon Vardar protiv Galaksijata,6.7, 87K,86
99. The Big Trip 3: Race Around the World,6.7, 87K,85
100. Big City Greens the Movie: Spacecation,6.7, 87K,N/A
"101. Maya, donne-moi un titre",6.7, 87K,61
102. DreadClub: Vampire's Verdict,6.7, 87K,N/A
103. Little Emma,6.7, 87K,106
104. Elli and the Ghostly Ghost Train,6.7, 87K,86
105. Mariposas Negras,6.7, 87K,83
106. Bocchi the Rock! Re:,6.7, 87K,90
107. Sabbath Queen,6.7, 87K,105
108. Out of the Nest,6.7, 87K,84
109. Fureru,6.7, 87K,107
110. Peppa's Cinema Party,6.7, 87K,65
111. Dead Dead Demon's Dededede Destruction,6.7, 87K,120
112. Cille 2069,6.7, 87K,N/A
113. Movie Given Hiiragi Mix.,6.7, 87K,70
114. Living Large,6.7, 87K,80
115. My Redneck Neighbor: Chapter 2 - Let the Games Begin,6.7, 87K,55
116. Isla Monstro,6.7, 87K,N/A
117. Captain Avispa,6.7, 87K,96
118. Taisu Xilie,6.7, 87K,100
119. Nie Xiaoqian,6.7, 87K,112
120. Kvitebjørn,6.7, 87K,85
"121. Die Heinzels: Neue Mützen, Neue Mission",6.7, 87K,76
122. Dragon Ball Z Kai,6.7, 87K,82
123. Kizumonogatari: Koyomi Vamp,6.7, 87K,144
124. Slocum et moi,6.7, 87K,75
125. Dongeng Sang Kancil,6.7, 87K,99
126. Hola Frida,6.7, 87K,82
127. Angelo dans la forêt mystérieuse,6.7, 87K,81
128. The Storm,6.7, 87K,102
129. Il segreto di Liberato,6.7, 87K,90
130. Luntik. Vozvrashchenie domoy,6.7, 87K,N/A
131. Bocchi the Rock! Re: Re:,6.7, 87K,77
132. Sanatorium Under the Sign of the Hourglass,6.7, 87K,75
133. Monkey King: The Beginning,6.7, 87K,N/A
"134. Robotia, the Movie",6.7, 87K,86
135. PAPmusic - Animation for Fashion,6.7, 87K,85
136. Niko: Beyond the Northern Lights,6.7, 87K,86
137. Yumi's Cells: The Movie,6.7, 87K,93
138. Rock Bottom,6.7, 87K,86
139. Adventures of Mickey Sherlock Mouse & Winnie the Pooh,6.7, 87K,N/A
140. Quo Vadis,6.7, 87K,90
141. The Proud Princess,6.7, 87K,84
142. Tri kota. Zimnie kanikuly,6.7, 87K,65
143. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.7, 87K,71
144. Teacher's Pet,6.7, 87K,N/A
145. Fuuto PI: Portrait of Kamen Rider Skull,6.7, 87K,82
146. Rocky and Bullwinkle,6.7, 87K,100
