Movie Name,Rating,Votes,Duration (minutes)
1. A Complete Unknown,7.4, 59K,141
2. I'm Still Here,7.4, 59K,137
3. Queen of the Ring,7.4, 59K,140
4. The Apprentice,7.4, 59K,122
5. William Tell,7.4, 59K,133
6. Better Man,7.4, 59K,135
7. Saturday Night,7.4, 59K,109
8. Queer,7.4, 59K,137
9. Maria,7.4, 59K,124
10. Reagan,7.4, 59K,141
11. Nr. 24,7.4, 59K,111
12. Bonhoeffer: Pastor. Spy. Assassin.,7.4, 59K,133
13. Unfrosted,7.4, 59K,97
14. The Fire Inside,7.4, 59K,109
15. Ordinary Angels,7.4, 59K,118
16. Back to Black,7.4, 59K,122
17. Young Woman and the Sea,7.4, 59K,129
18. Joy,7.4, 59K,115
19. Faith of Angels,7.4, 59K,98
20. Winner,7.4, 59K,103
21. Audrey's Children,7.4, 59K,110
22. Bob Marley: One Love,7.4, 59K,107
23. Piece by Piece,7.4, 59K,93
24. Cabrini,7.4, 59K,142
25. Rob Peace,7.4, 59K,120
26. Scoop,7.4, 59K,102
27. The Remarkable Life of Ibelin,7.4, 59K,103
28. Being Maria,7.4, 59K,100
29. Midas Man,7.4, 59K,112
30. Monsieur Aznavour,7.4, 59K,133
31. Amaran,7.4, 59K,167
32. Super/Man: The Christopher Reeve Story,7.4, 59K,104
33. One to One: John & Yoko,7.4, 59K,100
34. Maharaj,7.4, 59K,131
35. Harbin,7.4, 59K,108
36. Chhava,7.4, 59K,51
37. Goebbels and the Führer,7.4, 59K,135
"38. From Hilde, with Love",7.4, 59K,125
39. El 47,7.4, 59K,110
40. Boléro,7.4, 59K,120
41. Luther: Never Too Much,7.4, 59K,101
42. Shirley,7.4, 59K,117
43. Race for Glory: Audi vs. Lancia,7.4, 59K,109
44. Papa,7.4, 59K,131
45. Ravens,7.4, 59K,117
46. Niki,7.4, 59K,98
47. Cookster: The Darkest Days,7.4, 59K,119
48. Amar Singh Chamkila,7.4, 59K,145
49. Avicii - I'm Tim,7.4, 59K,95
50. Freedom,7.4, 59K,110
51. Srikanth,7.4, 59K,134
52. Liza: A Truly Terrific Absolutely True Story,7.4, 59K,104
53. The Firing Squad,7.4, 59K,93
54. The Ballad of Davy Crockett,7.4, 59K,96
55. Elton John: Never Too Late,7.4, 59K,102
56. Limonov: The Ballad of Eddie,7.4, 59K,138
57. Now or Never!,7.4, 59K,N/A
58. Biggest Heist Ever,7.4, 59K,85
59. Pavements,7.4, 59K,128
60. Quisling: The Final Days,7.4, 59K,146
61. Music by John Williams,7.4, 59K,105
62. Saint-Exupéry,7.4, 59K,98
63. Chandu Champion,7.4, 59K,142
64. Riefenstahl,7.4, 59K,115
65. Jim Henson: Idea Man,7.4, 59K,111
66. The Bibi Files,7.4, 59K,115
67. Prodigieuses,7.4, 59K,101
68. Drazen,7.4, 59K,100
69. Atatürk II: 1881-1919,7.4, 59K,141
70. Maidaan,7.4, 59K,181
71. The Shamrock Spitfire,7.4, 59K,108
72. Gundi: Legend of Love,7.4, 59K,166
73. I Am: Celine Dion,7.4, 59K,103
74. ZEF: The Story of Die Antwoord,7.4, 59K,90
"75. Sarah Bernhardt, la divine",7.4, 59K,98
76. Becoming Hitchcock: The Legacy of Blackmail,7.4, 59K,72
77. The Beach Boys,7.4, 59K,113
78. Spyral,7.4, 59K,83
79. The Great Ambition,7.4, 59K,123
80. Never Look Away,7.4, 59K,85
81. John Cranko,7.4, 59K,133
82. Samia,7.4, 59K,102
"83. Disco, Ibiza, Locomia",7.4, 59K,104
84. The Sidemen Story,7.4, 59K,99
85. Stelios,7.4, 59K,132
86. Beautiful Rebel,7.4, 59K,112
87. Oxana,7.4, 59K,103
88. Becoming Madonna,7.4, 59K,91
89. La casa,7.4, 59K,83
90. Faye,7.4, 59K,91
91. The Truth vs. Alex Jones,7.4, 59K,121
92. Janis Ian: Breaking Silence,7.4, 59K,114
93. Diddy: Summit to Plummet,7.4, 59K,60
94. Federer: Twelve Final Days,7.4, 59K,88
95. The Life and Deaths of Christopher Lee,7.4, 59K,99
96. Simona Kossak,7.4, 59K,100
"97. Enescu, Skinned Alive",7.4, 59K,N/A
98. Nahir,7.4, 59K,122
99. Blue Road: The Edna O'Brien Story,7.4, 59K,99
100. Swatantrya Veer Savarkar,7.4, 59K,176
101. A Bronx Tale: The Original One Man Show,7.4, 59K,N/A
102. National Theatre Live: Nye,7.4, 59K,160
103. Greenwood Rising: The Rise of Black Wall Street,7.4, 59K,N/A
104. Vindication Swim,7.4, 59K,98
105. Havnaa,7.4, 59K,110
106. Road Diary: Bruce Springsteen and the E Street Band,7.4, 59K,99
