Movie Name,Rating,Votes,Duration (minutes)
1. Anora,7.6, 152K,139
2. Moana 2,7.6, 152K,100
3. A Real Pain,7.6, 152K,90
4. Emilia Pérez,7.6, 152K,132
5. Sonic the Hedgehog 3,7.6, 152K,110
6. The Ministry of Ungentlemanly Warfare,7.6, 152K,122
7. Deadpool & Wolverine,7.6, 152K,128
8. The Day the Earth Blew Up: A Looney Tunes Movie,7.6, 152K,91
9. Borderlands,7.6, 152K,101
10. Paddington in Peru,7.6, 152K,106
11. Saturday Night,7.6, 152K,109
12. Night of the Zoopocalypse,7.6, 152K,91
13. Despicable Me 4,7.6, 152K,94
14. Riff Raff,7.6, 152K,103
15. Old Guy,7.6, 152K,94
16. The Fall Guy,7.6, 152K,126
17. F*** Marry Kill,7.6, 152K,97
18. A Different Man,7.6, 152K,112
19. Kinds of Kindness,7.6, 152K,164
20. Beetlejuice Beetlejuice,7.6, 152K,105
21. Inside Out 2,7.6, 152K,96
22. Fly Me to the Moon,7.6, 152K,132
23. Thelma,7.6, 152K,98
24. Red One,7.6, 152K,123
25. Friendship,7.6, 152K,100
26. Nightbitch,7.6, 152K,99
27. Bad Boys: Ride or Die,7.6, 152K,115
28. Superboys of Malegaon,7.6, 152K,127
29. My Old Ass,7.6, 152K,89
30. IF,7.6, 152K,104
31. It's What's Inside,7.6, 152K,103
32. Ghostbusters: Frozen Empire,7.6, 152K,115
33. The Killer's Game,7.6, 152K,104
34. Argylle,7.6, 152K,139
35. The Idea of You,7.6, 152K,115
36. Kneecap,7.6, 152K,105
37. Spermageddon,7.6, 152K,80
38. Rumours,7.6, 152K,104
39. Mean Girls,7.6, 152K,112
40. The Union,7.6, 152K,107
41. Snack Shack,7.6, 152K,112
42. Eephus,7.6, 152K,98
43. Freaky Tales,7.6, 152K,106
44. My Dead Friend Zoe,7.6, 152K,103
45. Hard Truths,7.6, 152K,97
46. Wallace & Gromit: Vengeance Most Fowl,7.6, 152K,82
47. Distant,7.6, 152K,87
48. Y2K,7.6, 152K,91
49. Harold and the Purple Crayon,7.6, 152K,90
50. Drive-Away Dolls,7.6, 152K,84
51. Kung Fu Panda 4,7.6, 152K,94
52. Greedy People,7.6, 152K,112
53. Jönssonligan kommer tillbaka,7.6, 152K,104
54. A Family Affair,7.6, 152K,111
55. Miller's Girl,7.6, 152K,93
56. The Garfield Movie,7.6, 152K,101
57. The Instigators,7.6, 152K,101
58. Lift,7.6, 152K,107
59. Beverly Hills Cop: Axel F,7.6, 152K,118
60. Hitpig,7.6, 152K,86
61. Unfrosted,7.6, 152K,97
62. Ricky Stanicky,7.6, 152K,113
63. Incoming,7.6, 152K,91
64. Get Away,7.6, 152K,86
65. Your Monster,7.6, 152K,103
66. Misericordia,7.6, 152K,104
67. The Empire,7.6, 152K,110
68. Dìdi,7.6, 152K,93
69. Brothers,7.6, 152K,89
70. The Uninvited,7.6, 152K,97
71. Sacramento,7.6, 152K,84
72. Stree 2: Sarkate Ka Aatank,7.6, 152K,147
73. A Nice Indian Boy,7.6, 152K,96
74. How to Make Millions Before Grandma Dies,7.6, 152K,125
75. Find Me Falling,7.6, 152K,93
76. Goodrich,7.6, 152K,110
77. Sookshma Darshini,7.6, 152K,142
78. Spellbound,7.6, 152K,109
79. Jackpot!,7.6, 152K,106
80. Ghostlight,7.6, 152K,115
81. The Gutter,7.6, 152K,92
82. Upgraded,7.6, 152K,104
83. Boot Camp,7.6, 152K,94
84. Winner,7.6, 152K,103
85. Lisa Frankenstein,7.6, 152K,101
86. We're All Gonna Die,7.6, 152K,110
87. The Marching Band,7.6, 152K,103
88. Saving Bikini Bottom: The Sandy Cheeks Movie,7.6, 152K,82
89. The Mouse Trap,7.6, 152K,80
90. Mother of the Bride,7.6, 152K,88
91. Sweethearts,7.6, 152K,98
92. Manamey,7.6, 152K,155
93. Irish Wish,7.6, 152K,93
94. Aavesham,7.6, 152K,155
95. Piece by Piece,7.6, 152K,93
96. The Visitor,7.6, 152K,101
97. Sister Midnight,7.6, 152K,107
98. Bob Trevino Likes It,7.6, 152K,102
99. Chosen Family,7.6, 152K,88
100. The Grinch That Stole Bitches,7.6, 152K,74
101. Summer Camp,7.6, 152K,95
102. Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,7.6, 152K,102
103. Family Pack,7.6, 152K,94
104. Universal Language,7.6, 152K,89
105. The Radleys,7.6, 152K,115
106. Lumina,7.6, 152K,113
107. Narayaneente Moonnaanmakkal,7.6, 152K,108
108. Players,7.6, 152K,105
109. The Wonderful Story of Henry Sugar and Three More,7.6, 152K,88
