Movie Name,Rating,Votes,Duration (minutes)
1. Emilia Pérez,5.4, 84K,132
2. Trap,5.4, 84K,105
3. Longlegs,5.4, 84K,101
4. Pushpa: The Rule - Part 2,5.4, 84K,201
5. The Order,5.4, 84K,116
6. Juror #2,5.4, 84K,114
7. Despicable Me 4,5.4, 84K,94
8. Riff Raff,5.4, 84K,103
9. MaXXXine,5.4, 84K,103
10. The Beekeeper,5.4, 84K,105
11. Carry-On,5.4, 84K,119
12. Marco,5.4, 84K,145
13. Rebel Ridge,5.4, 84K,131
14. Wolfs,5.4, 84K,108
15. The Crow,5.4, 84K,111
16. The Seed of the Sacred Fig,5.4, 84K,167
17. Bad Boys: Ride or Die,5.4, 84K,115
18. Love Lies Bleeding,5.4, 84K,104
19. Lucky Baskhar,5.4, 84K,148
20. Monkey Man,5.4, 84K,121
21. Freaky Tales,5.4, 84K,106
22. Greedy People,5.4, 84K,112
23. Jönssonligan kommer tillbaka,5.4, 84K,104
24. Absolution,5.4, 84K,112
25. Sleeping Dogs,5.4, 84K,110
26. The Instigators,5.4, 84K,101
27. Lift,5.4, 84K,107
28. Beverly Hills Cop: Axel F,5.4, 84K,118
29. Hitpig,5.4, 84K,86
30. The Silent Hour,5.4, 84K,99
31. Maharaja,5.4, 84K,141
32. Beating Hearts,5.4, 84K,166
33. Misericordia,5.4, 84K,104
34. Brothers,5.4, 84K,89
35. Killer Heat,5.4, 84K,95
36. Long Gone Heroes,5.4, 84K,101
37. Force of Nature: The Dry 2,5.4, 84K,120
38. The Shadow Strays,5.4, 84K,144
39. Armor,5.4, 84K,89
40. Trigger Warning,5.4, 84K,106
41. Blackwater Lane,5.4, 84K,108
42. Twilight of the Warriors: Walled In,5.4, 84K,126
43. Boneyard,5.4, 84K,96
44. The Thicket,5.4, 84K,108
45. The Calendar Killer,5.4, 84K,97
46. Santosh,5.4, 84K,128
47. The Unholy Trinity,5.4, 84K,93
48. Inside,5.4, 84K,104
49. Mea Culpa,5.4, 84K,120
50. Megamind vs. The Doom Syndicate,5.4, 84K,83
51. Dead Sea,5.4, 84K,88
52. Sector 36,5.4, 84K,123
53. Damaged,5.4, 84K,97
54. Colors of Evil: Red,5.4, 84K,111
55. Trouble,5.4, 84K,98
56. Faultline,5.4, 84K,92
"57. I, the Executioner",5.4, 84K,118
58. Code 8: Part II,5.4, 84K,100
59. Depravity,5.4, 84K,117
60. Bogota: City of the Lost,5.4, 84K,108
61. City Hunter,5.4, 84K,102
62. Drugstore June,5.4, 84K,91
63. Maharaj,5.4, 84K,131
64. Lake George,5.4, 84K,118
65. Duchess,5.4, 84K,114
66. Harbin,5.4, 84K,108
67. Do Patti,5.4, 84K,126
68. Detained,5.4, 84K,97
69. Badland Hunters,5.4, 84K,107
70. The Courier,5.4, 84K,101
71. The Soul Eater,5.4, 84K,108
72. Sikandar Ka Muqaddar,5.4, 84K,142
73. Broken Rage,5.4, 84K,62
74. The Roundup: Punishment,5.4, 84K,109
75. Here Now,5.4, 84K,118
76. Marmalade,5.4, 84K,99
77. Raayan,5.4, 84K,145
78. What Jennifer Did,5.4, 84K,87
79. First Shift,5.4, 84K,89
80. El Jockey,5.4, 84K,96
81. Lover Stalker Killer,5.4, 84K,90
82. Barron's Cove,5.4, 84K,116
83. Ride,5.4, 84K,114
84. Golam,5.4, 84K,120
85. Laws of Man,5.4, 84K,98
86. Officer Black Belt,5.4, 84K,108
87. Strictly Confidential,5.4, 84K,94
88. The Quiet Ones,5.4, 84K,110
89. Darkness of Man,5.4, 84K,109
90. Rats!,5.4, 84K,85
91. Justice,5.4, 84K,113
92. Cult Killer,5.4, 84K,105
93. In Her Place,5.4, 84K,96
94. Bougainvillea,5.4, 84K,138
95. A Place Called Silence,5.4, 84K,119
96. Papa,5.4, 84K,131
97. The Trainer,5.4, 84K,95
98. Pani,5.4, 84K,143
99. The Thundermans Return,5.4, 84K,70
100. Cookster: The Darkest Days,5.4, 84K,119
101. Crescent City,5.4, 84K,103
102. Boundless,5.4, 84K,121
103. 5lbs of Pressure,5.4, 84K,111
104. Freedom,5.4, 84K,110
105. Guns & Moses,5.4, 84K,94
106. Sicilian Letters,5.4, 84K,122
107. The Smile Man,5.4, 84K,122
108. Ferry 2,5.4, 84K,94
