Movie Name,Rating,Votes,Duration (minutes)
1. No Other Land,8.3, 8.7K,92
2. Secret Mall Apartment,8.3, 8.7K,91
3. Black Box Diaries,8.3, 8.7K,102
4. Grand Theft Hamlet,8.3, 8.7K,89
5. Tom Petty: Heartbreakers Beach Party,8.3, 8.7K,84
6. 2073,8.3, 8.7K,85
7. The Menendez Brothers,8.3, 8.7K,119
8. Soundtrack to a Coup d'Etat,8.3, 8.7K,150
9. Sugarcane,8.3, 8.7K,107
10. Twiggy,8.3, 8.7K,94
11. The Remarkable Life of Ibelin,8.3, 8.7K,103
12. Will & Harper,8.3, 8.7K,114
13. Cheech and Chong's Last Movie,8.3, 8.7K,123
14. Super/Man: The Christopher Reeve Story,8.3, 8.7K,104
15. One to One: John & Yoko,8.3, 8.7K,100
16. Porcelain War,8.3, 8.7K,87
17. Afternoons of Solitude,8.3, 8.7K,125
18. The Last Journey,8.3, 8.7K,95
19. Chhava,8.3, 8.7K,51
20. Buy Now! The Shopping Conspiracy,8.3, 8.7K,84
21. The Lost Children,8.3, 8.7K,96
22. Am I Racist?,8.3, 8.7K,100
23. The Program,8.3, 8.7K,102
24. Every Little Thing,8.3, 8.7K,93
25. Separated,8.3, 8.7K,93
26. What Jennifer Did,8.3, 8.7K,87
"27. My Wife, My Abuser: The Secret Footage",8.3, 8.7K,55
28. Lover Stalker Killer,8.3, 8.7K,90
29. Housewife of the Year,8.3, 8.7K,81
30. Luther: Never Too Much,8.3, 8.7K,101
31. Brats,8.3, 8.7K,92
32. Endurance,8.3, 8.7K,103
33. Yacht Rock: A Dockumentary,8.3, 8.7K,95
34. Frida,8.3, 8.7K,87
35. Blink,8.3, 8.7K,83
36. Dahomey,8.3, 8.7K,68
37. Avicii - I'm Tim,8.3, 8.7K,95
38. The Thinking Game,8.3, 8.7K,84
39. Aliens Expanded,8.3, 8.7K,282
40. Satisfied,8.3, 8.7K,84
41. Witches,8.3, 8.7K,90
42. Sweet Bobby: My Catfish Nightmare,8.3, 8.7K,82
43. Liza: A Truly Terrific Absolutely True Story,8.3, 8.7K,104
44. We Will Dance Again,8.3, 8.7K,90
45. Getting Lost,8.3, 8.7K,N/A
46. Hack Your Health: The Secrets of Your Gut,8.3, 8.7K,79
47. The Bloody Hundredth,8.3, 8.7K,62
48. The Greatest Night in Pop,8.3, 8.7K,96
49. Elton John: Never Too Late,8.3, 8.7K,102
50. Martha,8.3, 8.7K,115
51. Billy & Molly: An Otter Love Story,8.3, 8.7K,77
52. Bambi: A Tale of Life in the Woods,8.3, 8.7K,85
53. Beatles '64,8.3, 8.7K,106
54. Biggest Heist Ever,8.3, 8.7K,85
55. Pavements,8.3, 8.7K,128
56. Ernest Cole: Lost and Found,8.3, 8.7K,105
57. Music by John Williams,8.3, 8.7K,105
58. The Blue Angels,8.3, 8.7K,93
59. Checkpoint Zoo,8.3, 8.7K,103
60. A New Kind of Wilderness,8.3, 8.7K,84
61. Bad Faith,8.3, 8.7K,89
62. ¡Casa Bonita Mi Amor!,8.3, 8.7K,88
63. Riefenstahl,8.3, 8.7K,115
64. Daughters,8.3, 8.7K,108
65. From Ground Zero,8.3, 8.7K,112
66. Dear Kelly,8.3, 8.7K,90
67. A Quiet Girl,8.3, 8.7K,86
68. Like Tears in Rain,8.3, 8.7K,81
69. Andrea Bocelli 30: The Celebration,8.3, 8.7K,148
70. Jim Henson: Idea Man,8.3, 8.7K,111
71. The Bibi Files,8.3, 8.7K,115
72. Untitled Tim Burton Documentary,8.3, 8.7K,65
73. The Day Iceland Stood Still,8.3, 8.7K,70
74. Skywalkers: A Love Story,8.3, 8.7K,100
75. Wicked: The Real Story,8.3, 8.7K,90
76. Battle for Disclosure,8.3, 8.7K,141
77. I Am Martin Parr,8.3, 8.7K,68
78. Missing from Fire Trail Road,8.3, 8.7K,101
79. Government Gangsters,8.3, 8.7K,64
80. How to Rob a Bank,8.3, 8.7K,88
81. Jailbreak: Love on the Run,8.3, 8.7K,88
82. God & Country,8.3, 8.7K,90
83. Einstein and the Bomb,8.3, 8.7K,76
84. The Stimming Pool,8.3, 8.7K,70
85. The Commandant's Shadow,8.3, 8.7K,103
86. Art Spiegelman: Disaster Is My Muse,8.3, 8.7K,98
87. Inside the Mind of a Dog,8.3, 8.7K,75
88. War Game,8.3, 8.7K,94
89. Kix,8.3, 8.7K,94
90. Agent of Happiness,8.3, 8.7K,93
91. Child Star,8.3, 8.7K,98
92. Fly,8.3, 8.7K,110
93. Chain Reactions,8.3, 8.7K,103
94. The Roast of Tom Brady,8.3, 8.7K,179
95. I Am: Celine Dion,8.3, 8.7K,103
96. ZEF: The Story of Die Antwoord,8.3, 8.7K,90
97. Make It Look Real,8.3, 8.7K,78
98. Stormy,8.3, 8.7K,109
99. Shadowland,8.3, 8.7K,98
100. Fiore mio,8.3, 8.7K,80
101. Two Strangers Trying Not to Kill Each Other,8.3, 8.7K,100
102. They Called Him Mostly Harmless,8.3, 8.7K,89
103. Look Into My Eyes,8.3, 8.7K,105
104. Freediver,8.3, 8.7K,88
105. The Last of the Sea Women,8.3, 8.7K,87
106. Ellis Park,8.3, 8.7K,104
107. The Real Full Monty,8.3, 8.7K,N/A
