Movie Name,Rating,Votes,Duration (minutes)
1. Moana 2,6.7, 88K,100
2. Flow,6.7, 88K,85
3. Sonic the Hedgehog 3,6.7, 88K,110
4. Mufasa: The Lion King,6.7, 88K,118
5. The Day the Earth Blew Up: A Looney Tunes Movie,6.7, 88K,91
6. Paddington in Peru,6.7, 88K,106
7. Despicable Me 4,6.7, 88K,94
8. Inside Out 2,6.7, 88K,96
9. Transformers One,6.7, 88K,104
10. IF,6.7, 88K,104
11. Wallace & Gromit: Vengeance Most Fowl,6.7, 88K,82
12. Harold and the Purple Crayon,6.7, 88K,90
13. Kung Fu Panda 4,6.7, 88K,94
14. The Garfield Movie,6.7, 88K,101
15. The Forge,6.7, 88K,124
16. Hitpig,6.7, 88K,86
17. Young Hearts,6.7, 88K,99
18. Descendants: The Rise of Red,6.7, 88K,91
19. How to Make Millions Before Grandma Dies,6.7, 88K,125
20. Faith of Angels,6.7, 88K,98
21. Spellbound,6.7, 88K,109
22. Fear,6.7, 88K,115
23. Saving Bikini Bottom: The Sandy Cheeks Movie,6.7, 88K,82
24. My Penguin Friend,6.7, 88K,97
25. Piece by Piece,6.7, 88K,93
26. Lost on a Mountain in Maine,6.7, 88K,98
27. You Gotta Believe,6.7, 88K,104
28. Unsung Hero,6.7, 88K,113
29. Megamind vs. The Doom Syndicate,6.7, 88K,83
30. Orion and the Dark,6.7, 88K,93
31. A Sloth Story,6.7, 88K,90
32. That Christmas,6.7, 88K,91
33. Thelma the Unicorn,6.7, 88K,93
34. The Tiger's Apprentice,6.7, 88K,84
35. The Lost Tiger,6.7, 88K,90
36. Big World,6.7, 88K,131
37. Guest from the Future,6.7, 88K,141
38. 200% Wolf,6.7, 88K,98
39. Ultraman: Rising,6.7, 88K,117
40. Panda Plan,6.7, 88K,99
41. 10 Lives,6.7, 88K,88
42. Doraemon the Movie: Nobita's Earth Symphony,6.7, 88K,115
43. The Magician's Raincoat,6.7, 88K,N/A
44. Autumn and the Black Jaguar,6.7, 88K,100
45. The Thundermans Return,6.7, 88K,70
46. Runt,6.7, 88K,91
47. Woody Woodpecker Goes to Camp,6.7, 88K,100
48. Buffalo Kids,6.7, 88K,93
49. Woodwalkers,6.7, 88K,103
50. Meiyazhagan,6.7, 88K,177
51. Bibi Rajni,6.7, 88K,143
52. Average Joe,6.7, 88K,100
53. Crayon Shin-chan: Ora's Dinosaur Diary,6.7, 88K,106
54. My Freaky Family,6.7, 88K,86
55. The Groomsmen: First Look,6.7, 88K,82
56. Bambi: A Tale of Life in the Woods,6.7, 88K,85
57. Man and Witch: The Dance of a Thousand Steps,6.7, 88K,94
58. Ghost Cat Anzu,6.7, 88K,97
59. Storm Crashers,6.7, 88K,88
60. Dalia y el Libro Rojo,6.7, 88K,107
61. Rebellious,6.7, 88K,94
62. Savages,6.7, 88K,87
63. Robin and the Hoods,6.7, 88K,100
64. The Night Before Christmas in Wonderland,6.7, 88K,80
65. Der Buchspazierer,6.7, 88K,98
66. Believe in Christmas,6.7, 88K,90
67. A Brother and 7 Siblings,6.7, 88K,129
68. Going Viral,6.7, 88K,90
69. A Sudden Case of Christmas,6.7, 88K,91
70. School of Magical Animals 3,6.7, 88K,105
71. Super-Charlie,6.7, 88K,80
72. The Neon Highway,6.7, 88K,113
73. Rally Caps,6.7, 88K,100
74. Ryan's World the Movie: Titan Universe Adventure,6.7, 88K,80
75. And the Breadwinner Is...,6.7, 88K,123
76. My Oni Girl,6.7, 88K,112
77. A Carpenter's Prayer,6.7, 88K,91
78. Disaster Holiday,6.7, 88K,93
79. Kid Santa,6.7, 88K,N/A
80. Return to Wickensburg,6.7, 88K,88
81. Børnene fra Sølvgade,6.7, 88K,102
82. Noah's Ark,6.7, 88K,96
83. 2nd Miracle in Cell No. 7,6.7, 88K,147
84. Marry Christmas,6.7, 88K,85
85. No Time to Spy: A Loud House Movie,6.7, 88K,81
86. Rajakili,6.7, 88K,122
87. A Nashville Wish,6.7, 88K,102
88. Home Sweet Loan,6.7, 88K,112
89. Panda Bear in Africa,6.7, 88K,84
90. Like a Rolling Stone,6.7, 88K,106
91. Victoria må dø,6.7, 88K,85
92. Véletlenül írtam egy könyvet,6.7, 88K,98
93. Juliette au printemps,6.7, 88K,95
94. Brewster's Millions: Christmas,6.7, 88K,100
95. The Snow Sister,6.7, 88K,96
96. Skelly,6.7, 88K,85
97. The Primrose Railway Children,6.7, 88K,81
98. Father There is Only One 4,6.7, 88K,90
99. Il migliore dei mali,6.7, 88K,90
100. Grrr...,6.7, 88K,121
101. Zak & Wowo: The Legend of Lendarys,6.7, 88K,85
102. Dog Days,6.7, 88K,120
103. Dance Rivals,6.7, 88K,93
104. Gracie and Pedro: Pets to the Rescue,6.7, 88K,87
105. Bila Esok Ibu Tiada,6.7, 88K,104
106. Magic Beach,6.7, 88K,80
107. SuperKlaus,6.7, 88K,88
108. Paper Flowers,6.7, 88K,100
109. Dear Family,6.7, 88K,116
110. The Adventures of Jurassic Pet: Return to the Wild,6.7, 88K,90
111. The Casagrandes Movie,6.7, 88K,89
112. Heartsping : Teenieping of Love,6.7, 88K,N/A
113. The Big Trip 3: Race Around the World,6.7, 88K,85
114. The Legend of Catclaws Mountain,6.7, 88K,104
115. Big City Greens the Movie: Spacecation,6.7, 88K,N/A
"116. Maya, donne-moi un titre",6.7, 88K,61
117. Little Emma,6.7, 88K,106
118. My Private Line to God,6.7, 88K,N/A
119. Elli and the Ghostly Ghost Train,6.7, 88K,86
120. Yaren Leylek,6.7, 88K,95
121. Peppa's Cinema Party,6.7, 88K,65
122. Sabari,6.7, 88K,129
123. For Prophet,6.7, 88K,105
124. Superkrachten voor je hoofd,6.7, 88K,92
125. Yolki 11,6.7, 88K,92
126. Babah,6.7, 88K,129
127. Joy of Horses,6.7, 88K,90
128. Living Large,6.7, 88K,80
129. Hope,6.7, 88K,N/A
130. Singapore Saloon,6.7, 88K,137
131. My Redneck Neighbor: Chapter 2 - Let the Games Begin,6.7, 88K,55
132. Stinky Summer,6.7, 88K,90
133. Saint Nick of Bethlehem,6.7, 88K,93
134. Amaltash,6.7, 88K,113
135. Captain Avispa,6.7, 88K,96
136. My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,6.7, 88K,74
137. Powder Pup,6.7, 88K,89
138. Chico Bento e a Goiabeira Maraviosa,6.7, 88K,90
139. Too Old for Fairy Tales 2,6.7, 88K,95
140. Vishesham,6.7, 88K,136
141. Letuchiy korabl,6.7, 88K,100
142. Kvitebjørn,6.7, 88K,85
"143. Die Heinzels: Neue Mützen, Neue Mission",6.7, 88K,76
"144. Love, Sitara",6.7, 88K,105
145. The Lamb,6.7, 88K,85
146. Dongeng Sang Kancil,6.7, 88K,99
147. Gharat Ganpati,6.7, 88K,139
148. Juf Braaksel en de Geniale Ontsnapping,6.7, 88K,83
149. Troy the Bharat Putra,6.7, 88K,134
150. Sunny,6.7, 88K,122
151. Dedh Bigha Zameen,6.7, 88K,100
152. Cricket,6.7, 88K,N/A
153. Blended Christmas,6.7, 88K,N/A
154. Obraz,6.7, 88K,95
155. Baba Yaga spasaet Novyy god,6.7, 88K,99
156. Sieger Sein,6.7, 88K,119
157. Gina,6.7, 88K,100
158. Miracle Mile,6.7, 88K,82
159. Carol,6.7, 88K,115
160. Chicken Coop,6.7, 88K,98
161. Windcatcher,6.7, 88K,80
162. 14 Days Love,6.7, 88K,112
163. The Magic Penguin,6.7, 88K,89
164. Planet 7693,6.7, 88K,110
165. Treasure Trackers,6.7, 88K,92
166. We Believe,6.7, 88K,N/A
167. Khusma,6.7, 88K,N/A
"168. Robotia, the Movie",6.7, 88K,86
169. Niko: Beyond the Northern Lights,6.7, 88K,86
170. Emma,6.7, 88K,90
171. Daaru Na Peenda Hove,6.7, 88K,111
172. Ole Aale,6.7, 88K,142
173. Rajkumar,6.7, 88K,145
174. Lucy and the Lake Monster,6.7, 88K,N/A
175. Our Church Thinks We're Dating,6.7, 88K,102
176. BeBe Winans' We Three Kings,6.7, 88K,90
177. Ducobu passe au vert!,6.7, 88K,90
178. Die Chaosschwestern und Pinguin Paul,6.7, 88K,100
179. The Proud Princess,6.7, 88K,84
180. Tri kota. Zimnie kanikuly,6.7, 88K,65
181. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.7, 88K,71
182. Paagal vs Kadhal,6.7, 88K,111
183. Håkan Bråkan 2,6.7, 88K,92
