Movie Name,Rating,Votes,Duration (minutes)
1. Moana 2,6.7, 88K,100
2. Flow,6.7, 88K,85
3. Nosferatu,6.7, 88K,132
4. Wicked,6.7, 88K,160
5. Sonic the Hedgehog 3,6.7, 88K,110
6. Parthenope,6.7, 88K,137
7. Mufasa: The Lion King,6.7, 88K,118
8. Better Man,6.7, 88K,135
9. The Lord of the Rings: The War of the Rohirrim,6.7, 88K,134
10. The Life of Chuck,6.7, 88K,110
11. Megalopolis,6.7, 88K,138
12. The Watchers,6.7, 88K,102
13. Beetlejuice Beetlejuice,6.7, 88K,105
14. Inside Out 2,6.7, 88K,96
15. The Crow,6.7, 88K,111
16. Red One,6.7, 88K,123
17. Transformers One,6.7, 88K,104
18. Solo Leveling: ReAwakening,6.7, 88K,121
19. Damsel,6.7, 88K,110
20. IF,6.7, 88K,104
21. Ghostbusters: Frozen Empire,6.7, 88K,115
22. Godzilla x Kong: The New Empire,6.7, 88K,115
23. Harold and the Purple Crayon,6.7, 88K,90
24. Uglies,6.7, 88K,100
25. Kung Fu Panda 4,6.7, 88K,94
26. The Garfield Movie,6.7, 88K,101
27. Kalki 2898 AD,6.7, 88K,180
28. Descendants: The Rise of Red,6.7, 88K,91
29. Rebel Moon - Part Two: The Scargiver,6.7, 88K,122
30. Spellbound,6.7, 88K,109
31. Hagen,6.7, 88K,139
32. The End,6.7, 88K,148
33. Monster Summer,6.7, 88K,97
34. The Tearsmith,6.7, 88K,103
35. Saving Bikini Bottom: The Sandy Cheeks Movie,6.7, 88K,82
36. Girl Haunts Boy,6.7, 88K,100
37. Irish Wish,6.7, 88K,93
38. Family Pack,6.7, 88K,94
39. The Wonderful Story of Henry Sugar and Three More,6.7, 88K,88
40. The American Society of Magical Negroes,6.7, 88K,104
41. Orion and the Dark,6.7, 88K,93
42. Dear Santa,6.7, 88K,107
43. The Best Christmas Pageant Ever,6.7, 88K,99
44. Bhool Bhulaiyaa 3,6.7, 88K,158
45. The Balconettes,6.7, 88K,104
46. The Sand Castle,6.7, 88K,98
47. Justice League: Crisis on Infinite Earths - Part One,6.7, 88K,93
48. Pedro Páramo,6.7, 88K,130
49. That Christmas,6.7, 88K,91
50. Thelma the Unicorn,6.7, 88K,93
51. A Dog's Will 2,6.7, 88K,104
52. This Is Me... Now,6.7, 88K,65
53. Justice League: Crisis on Infinite Earths - Part Three,6.7, 88K,94
54. The Tiger's Apprentice,6.7, 88K,84
55. The Lost Tiger,6.7, 88K,90
56. Hot Frosty,6.7, 88K,92
57. 200% Wolf,6.7, 88K,98
58. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,6.7, 88K,104
59. Unspeakable: Beyond the Wall of Sleep,6.7, 88K,90
60. The Witch: Revenge,6.7, 88K,100
61. Timestalker,6.7, 88K,89
62. Ultraman: Rising,6.7, 88K,117
63. Angels Fallen: Warriors of Peace,6.7, 88K,103
64. 10 Lives,6.7, 88K,88
65. Doraemon the Movie: Nobita's Earth Symphony,6.7, 88K,115
66. Cinderella's Curse,6.7, 88K,82
67. The Magician's Raincoat,6.7, 88K,N/A
68. The Thundermans Return,6.7, 88K,70
69. Woody Woodpecker Goes to Camp,6.7, 88K,100
70. Mars,6.7, 88K,84
71. Dan Da Dan: First Encounter,6.7, 88K,83
72. Justice League: Crisis on Infinite Earths - Part Two,6.7, 88K,94
73. Harry Potter and the Stone,6.7, 88K,152
74. Buffalo Kids,6.7, 88K,93
75. Hanu Man,6.7, 88K,158
76. Woodwalkers,6.7, 88K,103
77. Dragonkeeper,6.7, 88K,98
78. Seven Cemeteries,6.7, 88K,84
79. Cinderella's Revenge,6.7, 88K,85
80. Man and Witch: The Dance of a Thousand Steps,6.7, 88K,94
81. Kanguva,6.7, 88K,152
82. Witch,6.7, 88K,107
83. Cells at Work!,6.7, 88K,109
84. The Slave and the Sorcerer,6.7, 88K,86
85. Chantal in Fairyland,6.7, 88K,118
86. Ghost Cat Anzu,6.7, 88K,97
87. Dalia y el Libro Rojo,6.7, 88K,107
88. Overlord: The Sacred Kingdom,6.7, 88K,135
89. Rebellious,6.7, 88K,94
90. A.R.M,6.7, 88K,150
91. Robin and the Hoods,6.7, 88K,100
92. The Night Before Christmas in Wonderland,6.7, 88K,80
93. Tim Travers & the Time Travelers Paradox,6.7, 88K,95
94. Devil's Knight,6.7, 88K,90
95. Thangalaan,6.7, 88K,156
96. Mononoke the Movie: The Phantom in the Rain,6.7, 88K,89
97. School of Magical Animals 3,6.7, 88K,105
98. A Trip Elsewhere,6.7, 88K,93
99. Warchief,6.7, 88K,94
100. Lesbian Space Princess,6.7, 88K,87
101. Balestra,6.7, 88K,145
102. The Invisibles,6.7, 88K,111
103. Super-Charlie,6.7, 88K,80
104. Ryan's World the Movie: Titan Universe Adventure,6.7, 88K,80
"105. Love, Danielle",6.7, 88K,79
106. Sketch,6.7, 88K,92
107. Alienoid: The Return to the Future,6.7, 88K,122
108. My Oni Girl,6.7, 88K,112
109. Else,6.7, 88K,100
110. Snatched a Billionaire to Be My Husband,6.7, 88K,70
111. Spirit World,6.7, 88K,94
112. Shrek 5: The Contract - A Fan Made Film,6.7, 88K,84
113. White Snake: Afloat,6.7, 88K,133
114. Witch Hunter,6.7, 88K,80
115. The Keepers of the 5 Kingdoms,6.7, 88K,109
116. Orang Ikan,6.7, 88K,83
117. Panda Bear in Africa,6.7, 88K,84
118. The Goat,6.7, 88K,100
119. The Yin Yang Master Zero,6.7, 88K,112
120. The Legend Hunters,6.7, 88K,N/A
121. Assassin's Guild,6.7, 88K,103
122. Gaami,6.7, 88K,147
123. The Phantom Warrior,6.7, 88K,119
124. Nonostante,6.7, 88K,93
125. Once Upon a Christmas Wish,6.7, 88K,90
126. Seven Seas Seven Hills,6.7, 88K,90
127. The Opera!,6.7, 88K,106
128. Barroz: Guardian of Treasures,6.7, 88K,155
129. Witchy Ways,6.7, 88K,N/A
130. Zak & Wowo: The Legend of Lendarys,6.7, 88K,85
131. Schneewittchen,6.7, 88K,70
132. Mayan,6.7, 88K,113
133. The Sisters,6.7, 88K,122
134. Phallacies,6.7, 88K,101
135. Vertical,6.7, 88K,111
136. SuperKlaus,6.7, 88K,88
137. The Woods Are Real,6.7, 88K,80
138. We Work for the Dead,6.7, 88K,84
139. Schirkoa: In Lies We Trust,6.7, 88K,103
140. The Casagrandes Movie,6.7, 88K,89
141. Heartsping : Teenieping of Love,6.7, 88K,N/A
142. Vidente por Acidente,6.7, 88K,93
143. Big City Greens the Movie: Spacecation,6.7, 88K,N/A
"144. Maya, donne-moi un titre",6.7, 88K,61
145. Dr. Sander's Sleep Cure,6.7, 88K,98
146. Empire Queen: The Golden Age of Magic,6.7, 88K,148
147. Spirit Riser,6.7, 88K,98
148. Elli and the Ghostly Ghost Train,6.7, 88K,86
149. The Vord,6.7, 88K,101
150. The Heartsmith,6.7, 88K,95
151. Fureru,6.7, 88K,107
152. Nyctophobia,6.7, 88K,90
153. Dead Dead Demon's Dededede Destruction,6.7, 88K,120
154. Perdiendo el Juicio,6.7, 88K,N/A
155. King Baby,6.7, 88K,88
156. River of Ghosts,6.7, 88K,102
157. The Traveller,6.7, 88K,134
158. Universal Groove,6.7, 88K,74
159. My Redneck Neighbor: Chapter 2 - Let the Games Begin,6.7, 88K,55
160. Intercambiadas,6.7, 88K,97
161. Hiçbir Sey Normal Degil,6.7, 88K,71
162. Captain Avispa,6.7, 88K,96
163. A Song from the Dark,6.7, 88K,105
164. The Fisherman,6.7, 88K,105
165. Last Song for You,6.7, 88K,110
166. Taisu Xilie,6.7, 88K,100
167. Enchanting Christmas,6.7, 88K,91
168. Nie Xiaoqian,6.7, 88K,112
169. Deadlands - A Fly Story,6.7, 88K,N/A
170. Bhairadevi,6.7, 88K,134
171. Letuchiy korabl,6.7, 88K,100
"172. Die Heinzels: Neue Mützen, Neue Mission",6.7, 88K,76
173. Rita,6.7, 88K,107
174. Dragon Ball Z Kai,6.7, 88K,82
175. Bodegón con fantasmas,6.7, 88K,88
176. Perfect Blue,6.7, 88K,N/A
177. Dongeng Sang Kancil,6.7, 88K,99
178. Aalan,6.7, 88K,137
179. Joachim and the Apocalypse,6.7, 88K,90
180. Kajolrekha,6.7, 88K,156
181. Letters at Christmas,6.7, 88K,84
182. Penguin Girl,6.7, 88K,98
183. Case Files,6.7, 88K,N/A
184. Baba Yaga spasaet Novyy god,6.7, 88K,99
