Movie Name,Rating,Votes,Duration (minutes)
1. I'm Still Here,8.4, 94K,137
2. The Apprentice,8.4, 94K,122
3. William Tell,8.4, 94K,133
4. September 5,8.4, 94K,95
5. Saturday Night,8.4, 94K,109
6. The Count of Monte-Cristo,8.4, 94K,178
7. Queer,8.4, 94K,137
8. The Six Triple Eight,8.4, 94K,127
9. Small Things Like These,8.4, 94K,98
10. The Girl with the Needle,8.4, 94K,123
11. The Return,8.4, 94K,116
12. Reagan,8.4, 94K,141
13. Bonhoeffer: Pastor. Spy. Assassin.,8.4, 94K,133
14. Blitz,8.4, 94K,120
15. Unfrosted,8.4, 94K,97
16. The Devil's Bath,8.4, 94K,121
17. Vermiglio,8.4, 94K,119
18. Joy,8.4, 94K,115
19. The Children's Train,8.4, 94K,106
20. Waves,8.4, 94K,131
21. 11 Rebels,8.4, 94K,155
22. Being Maria,8.4, 94K,100
23. Escape from Germany,8.4, 94K,97
24. Grand Tour,8.4, 94K,128
25. Uprising,8.4, 94K,126
26. Maharaj,8.4, 94K,131
27. Before Dawn,8.4, 94K,101
28. Harbin,8.4, 94K,108
29. Chhava,8.4, 94K,51
30. Goebbels and the Führer,8.4, 94K,135
31. The New Year That Never Came,8.4, 94K,138
"32. From Hilde, with Love",8.4, 94K,125
33. No Chains No Masters,8.4, 94K,98
34. Seize Them!,8.4, 94K,91
35. Housewife of the Year,8.4, 94K,81
36. In Her Place,8.4, 94K,96
37. Shirley,8.4, 94K,117
38. Golden Kamuy,8.4, 94K,127
39. Harvest,8.4, 94K,131
40. Sucha Soorma,8.4, 94K,136
41. Shivrayancha Chhava,8.4, 94K,80
42. Witches,8.4, 94K,90
43. Bibi Rajni,8.4, 94K,143
44. The Flood,8.4, 94K,101
45. Razakar: The Silent Genocide of Hyderabad,8.4, 94K,166
46. The Ballad of Davy Crockett,8.4, 94K,96
47. Limonov: The Ballad of Eddie,8.4, 94K,138
"48. Love, Courage and the Battle of Bushy Run",8.4, 94K,113
49. Now or Never!,8.4, 94K,N/A
50. Quisling: The Final Days,8.4, 94K,146
51. Witch,8.4, 94K,107
52. Chandu Champion,8.4, 94K,142
53. The Last Front,8.4, 94K,98
54. Louise Violet,8.4, 94K,108
55. Intoxicated by Love,8.4, 94K,118
56. Color of Victory,8.4, 94K,157
