Movie Name,Rating,Votes,Duration (minutes),Genre
Kraven the Hunter,5.4, 44K,127.0,action
Gladiator II,5.4, 44K,148.0,action
Sonic the Hedgehog 3,5.4, 44K,110.0,action
Venom: The Last Dance,5.4, 44K,110.0,action
Dune: Part Two,5.4, 44K,166.0,action
Pushpa: The Rule - Part 2,5.4, 44K,201.0,action
William Tell,5.4, 44K,133.0,action
Elevation,5.4, 44K,91.0,action
The Lord of the Rings: The War of the Rohirrim,5.4, 44K,134.0,action
The Ministry of Ungentlemanly Warfare,5.4, 44K,122.0,action
Furiosa: A Mad Max Saga,5.4, 44K,148.0,action
Deadpool & Wolverine,5.4, 44K,128.0,action
Borderlands,5.4, 44K,101.0,action
Hellboy: The Crooked Man,5.4, 44K,99.0,action
Twisters,5.4, 44K,122.0,action
Civil War,5.4, 44K,109.0,action
Old Guy,5.4, 44K,94.0,action
The Count of Monte-Cristo,5.4, 44K,178.0,action
The Beekeeper,5.4, 44K,105.0,action
Carry-On,5.4, 44K,119.0,action
Marco,5.4, 44K,145.0,action
The Fall Guy,5.4, 44K,126.0,action
Rebel Ridge,5.4, 44K,131.0,action
Homestead,5.4, 44K,112.0,action
The Crow,5.4, 44K,111.0,action
Thelma,5.4, 44K,98.0,action
Kingdom of the Planet of the Apes,5.4, 44K,145.0,action
Road House,5.4, 44K,121.0,action
Red One,5.4, 44K,123.0,action
Transformers One,5.4, 44K,104.0,action
Solo Leveling: ReAwakening,5.4, 44K,121.0,action
Bad Boys: Ride or Die,5.4, 44K,115.0,action
Love Lies Bleeding,5.4, 44K,104.0,action
Damsel,5.4, 44K,110.0,action
Land of Bad,5.4, 44K,113.0,action
The Killer's Game,5.4, 44K,104.0,action
Argylle,5.4, 44K,139.0,action
Madame Web,5.4, 44K,116.0,action
Godzilla x Kong: The New Empire,5.4, 44K,115.0,action
Dirty Angels,5.4, 44K,104.0,action
The Union,5.4, 44K,107.0,action
Monkey Man,5.4, 44K,121.0,action
Aftermath,5.4, 44K,97.0,action
Azrael,5.4, 44K,86.0,action
Freaky Tales,5.4, 44K,106.0,action
Attack on Titan the Movie: The Last Attack,5.4, 44K,145.0,action
Drive-Away Dolls,5.4, 44K,84.0,action
Werewolves,5.4, 44K,93.0,action
Uglies,5.4, 44K,100.0,action
Kung Fu Panda 4,5.4, 44K,94.0,action
Absolution,5.4, 44K,112.0,action
Arcadian,5.4, 44K,92.0,action
Blitz,5.4, 44K,120.0,action
The Instigators,5.4, 44K,101.0,action
Lift,5.4, 44K,107.0,action
Beverly Hills Cop: Axel F,5.4, 44K,118.0,action
The Killer,5.4, 44K,126.0,action
Hitpig,5.4, 44K,86.0,action
Apocalypse Z: The Beginning of the End,5.4, 44K,117.0,action
The Silent Hour,5.4, 44K,99.0,action
Maharaja,5.4, 44K,141.0,action
Classified,5.4, 44K,105.0,action
Kalki 2898 AD,5.4, 44K,180.0,action
Descendants: The Rise of Red,5.4, 44K,91.0,action
Brothers,5.4, 44K,89.0,action
Atlas,5.4, 44K,118.0,action
Canary Black,5.4, 44K,101.0,action
Baby John,5.4, 44K,159.0,action
Survive,5.4, 44K,90.0,action
Long Gone Heroes,5.4, 44K,101.0,action
Weekend in Taipei,5.4, 44K,100.0,action
Watchmen: Chapter I,5.4, 44K,83.0,action
Rebel Moon - Part Two: The Scargiver,5.4, 44K,122.0,action
Gunner,5.4, 44K,106.0,action
Hagen,5.4, 44K,139.0,action
Jackpot!,5.4, 44K,106.0,action
Cash Out,5.4, 44K,92.0,action
Under Paris,5.4, 44K,104.0,action
Levels,5.4, 44K,93.0,action
Dominique,5.4, 44K,100.0,action
The Shadow Strays,5.4, 44K,144.0,action
Armor,5.4, 44K,89.0,action
Trigger Warning,5.4, 44K,106.0,action
Agents,5.4, 44K,82.0,action
Twilight of the Warriors: Walled In,5.4, 44K,126.0,action
Aavesham,5.4, 44K,155.0,action
Hounds of War,5.4, 44K,95.0,action
Boneyard,5.4, 44K,96.0,action
Jacob Tyler,5.4, 44K,133.0,action
Chief of Station,5.4, 44K,97.0,action
Take Cover,5.4, 44K,90.0,action
No Way Up,5.4, 44K,90.0,action
Agent Recon,5.4, 44K,85.0,action
Red Right Hand,5.4, 44K,111.0,action
11 Rebels,5.4, 44K,155.0,action
Watchmen: Chapter II,5.4, 44K,90.0,action
Megamind vs. The Doom Syndicate,5.4, 44K,83.0,action
Sunray: Fallen Soldier,5.4, 44K,115.0,action
Night Call,5.4, 44K,97.0,action
Singham Again,5.4, 44K,144.0,action
Damaged,5.4, 44K,97.0,action
Amaran,5.4, 44K,167.0,action
Role Play,5.4, 44K,100.0,action
Vanvaas,5.4, 44K,160.0,action
Trouble,5.4, 44K,98.0,action
Echo 8,5.4, 44K,96.0,action
Rifle Club,5.4, 44K,113.0,action
Dark Match,5.4, 44K,94.0,action
"I, the Executioner",5.4, 44K,118.0,action
Prey,5.4, 44K,86.0,action
Code 8: Part II,5.4, 44K,100.0,action
My Hero Academia: You're Next,5.4, 44K,110.0,action
Justice League: Crisis on Infinite Earths - Part One,5.4, 44K,93.0,action
City Hunter,5.4, 44K,102.0,action
Uprising,5.4, 44K,126.0,action
River of Blood,5.4, 44K,86.0,action
My Spy: The Eternal City,5.4, 44K,112.0,action
Duchess,5.4, 44K,114.0,action
Harbin,5.4, 44K,108.0,action
Max,5.4, 44K,132.0,action
Badland Hunters,5.4, 44K,107.0,action
The Courier,5.4, 44K,101.0,action
Justice League: Crisis on Infinite Earths - Part Three,5.4, 44K,94.0,action
The Tiger's Apprentice,5.4, 44K,84.0,action
Sikandar Ka Muqaddar,5.4, 44K,142.0,action
Drive Back,5.4, 44K,94.0,action
The Lost Tiger,5.4, 44K,90.0,action
The Price of Money: A Largo Winch Adventure,5.4, 44K,100.0,action
The Fix,5.4, 44K,98.0,action
Joe Baby,5.4, 44K,86.0,action
The Roundup: Punishment,5.4, 44K,109.0,action
One More Shot,5.4, 44K,103.0,action
Arena Wars,5.4, 44K,96.0,action
Mafia Wars,5.4, 44K,94.0,action
Raayan,5.4, 44K,145.0,action
Elyas,5.4, 44K,105.0,action
Fighter,5.4, 44K,166.0,action
Striking Rescue,5.4, 44K,106.0,action
Lights Out,5.4, 44K,90.0,action
Article 370,5.4, 44K,158.0,action
Devara Part 1,5.4, 44K,176.0,action
200% Wolf,5.4, 44K,98.0,action
Officer Black Belt,5.4, 44K,108.0,action
Simarik,5.4, 44K,111.0,action
