Movie Name,Rating,Votes,Duration (minutes)
1. Every Christopher Nolan Movie Ranked,8.7, 18,59
2. The Fall of 2008,8.7, 18,61
3. The Truth: The Journey Within,8.7, 18,91
4. #Models Wanted,8.7, 18,N/A
5. The Turning Point: XCLD: The Story of Cancel Culture,8.7, 18,44
6. Minnesota v. We the People,8.7, 18,55
7. Toque de Queda,8.7, 18,120
8. Drachten Journaals,8.7, 18,51
9. El Genocidio Silencioso,8.7, 18,82
10. UK General Election 2024,8.7, 18,180
11. Les ombres de l'inconnue,8.7, 18,12
