Movie Name,Rating,Votes,Duration (minutes)
1. The Substance,7.3, 280K,141
2. Sonic the Hedgehog 3,7.3, 280K,110
3. Venom: The Last Dance,7.3, 280K,110
4. The Wild Robot,7.3, 280K,102
5. Dune: Part Two,7.3, 280K,166
6. Elevation,7.3, 280K,91
7. Furiosa: A Mad Max Saga,7.3, 280K,148
8. Deadpool & Wolverine,7.3, 280K,128
9. The Day the Earth Blew Up: A Looney Tunes Movie,7.3, 280K,91
10. Borderlands,7.3, 280K,101
11. The Life of Chuck,7.3, 280K,110
12. Alien: Romulus,7.3, 280K,119
13. Subservience,7.3, 280K,106
14. Despicable Me 4,7.3, 280K,94
15. Megalopolis,7.3, 280K,138
16. Kingdom of the Planet of the Apes,7.3, 280K,145
17. Transformers One,7.3, 280K,104
18. A Quiet Place: Day One,7.3, 280K,99
19. It's What's Inside,7.3, 280K,103
20. Ghostbusters: Frozen Empire,7.3, 280K,115
21. Caddo Lake,7.3, 280K,103
22. Madame Web,7.3, 280K,116
23. Godzilla x Kong: The New Empire,7.3, 280K,115
24. Wallace & Gromit: Vengeance Most Fowl,7.3, 280K,82
25. Distant,7.3, 280K,87
26. Y2K,7.3, 280K,91
27. The Shrouds,7.3, 280K,119
28. Spaceman,7.3, 280K,107
29. Uglies,7.3, 280K,100
30. The Assessment,7.3, 280K,109
31. Arcadian,7.3, 280K,92
32. Apocalypse Z: The Beginning of the End,7.3, 280K,117
33. Kalki 2898 AD,7.3, 280K,180
34. Slingshot,7.3, 280K,108
35. Time Cut,7.3, 280K,91
36. The Silent Planet,7.3, 280K,95
37. The Empire,7.3, 280K,110
38. Atlas,7.3, 280K,118
39. Survive,7.3, 280K,90
40. Afraid,7.3, 280K,84
41. Things Will Be Different,7.3, 280K,102
42. Watchmen: Chapter I,7.3, 280K,83
43. Love Me,7.3, 280K,91
44. Rebel Moon - Part Two: The Scargiver,7.3, 280K,122
45. The End,7.3, 280K,148
46. We're All Gonna Die,7.3, 280K,110
47. Levels,7.3, 280K,93
48. The Platform 2,7.3, 280K,99
49. Die Alone,7.3, 280K,91
50. Omni Loop,7.3, 280K,112
51. Trapped Inn,7.3, 280K,115
52. Rich Flu,7.3, 280K,116
53. Last Night on Earth,7.3, 280K,86
54. Sting,7.3, 280K,91
55. Breathe,7.3, 280K,93
56. Lumina,7.3, 280K,113
57. Agent Recon,7.3, 280K,85
58. V/H/S/Beyond,7.3, 280K,114
59. Watchmen: Chapter II,7.3, 280K,90
60. Megamind vs. The Doom Syndicate,7.3, 280K,83
61. Turn Me On,7.3, 280K,99
62. South of Hope Street,7.3, 280K,101
63. Moon Maidens 2,7.3, 280K,69
64. Code 8: Part II,7.3, 280K,100
65. My Hero Academia: You're Next,7.3, 280K,110
66. Justice League: Crisis on Infinite Earths - Part One,7.3, 280K,93
67. City Hunter,7.3, 280K,102
68. Year 10,7.3, 280K,96
69. The Greatest Hits,7.3, 280K,94
70. Badland Hunters,7.3, 280K,107
71. Justice League: Crisis on Infinite Earths - Part Three,7.3, 280K,94
72. Street Trash,7.3, 280K,85
73. Drive Back,7.3, 280K,94
74. Replicator,7.3, 280K,75
75. The Fix,7.3, 280K,98
