Movie Name,Rating,Votes,Duration (minutes)
1. Queen of the Ring,7.0, 791,140
2. The Fire Inside,7.0, 791,109
3. Unstoppable,7.0, 791,116
4. Young Woman and the Sea,7.0, 791,129
5. Arthur the King,7.0, 791,107
6. Under Paris,7.0, 791,104
7. You Gotta Believe,7.0, 791,104
8. Rez Ball,7.0, 791,111
9. The Underdoggs,7.0, 791,96
10. Sweet Dreams,7.0, 791,95
11. El Jockey,7.0, 791,96
12. The Beautiful Game,7.0, 791,125
13. Race for Glory: Audi vs. Lancia,7.0, 791,109
14. Sixty Minutes,7.0, 791,88
15. My Sunshine,7.0, 791,100
16. Little Wing,7.0, 791,100
17. Chandu Champion,7.0, 791,142
18. Uranus 2324,7.0, 791,130
19. The Tale of Texas Pool,7.0, 791,N/A
20. Lubber Pandhu,7.0, 791,146
21. Color of Victory,7.0, 791,157
22. Boxer,7.0, 791,150
23. Haikyu!! The Dumpster Battle,7.0, 791,85
24. Maidaan,7.0, 791,181
25. My Annoying Brother,7.0, 791,114
26. Bionic,7.0, 791,110
27. Yolo,7.0, 791,129
28. Gundi: Legend of Love,7.0, 791,166
29. Crakk: Jeetega... Toh Jiyegaa,7.0, 791,154
30. Balestra,7.0, 791,145
31. Blue Lock: Episode Nagi,7.0, 791,91
32. Giannis: The Marvelous Journey,7.0, 791,109
33. Samia,7.0, 791,102
34. Memes & Nightmares,7.0, 791,81
35. The Champion,7.0, 791,106
36. Federer: Twelve Final Days,7.0, 791,88
37. The Swedish Torpedo,7.0, 791,120
38. Pegasus 2,7.0, 791,121
39. Untold: The Murder of Air McNair,7.0, 791,57
40. Challenger,7.0, 791,95
41. Pay Dirt: The Story of Supercross,7.0, 791,91
42. Mr. & Mrs. Mahi,7.0, 791,139
43. Baki Hanma VS Kengan Ashura,7.0, 791,62
44. Diving Into the Darkness,7.0, 791,96
45. Havnaa,7.0, 791,110
46. Uma Musume: Pretty Derby - Beginning of a New Era,7.0, 791,108
47. Free Falling,7.0, 791,89
48. First Class: Full Speed!,7.0, 791,N/A
49. The Miranda Brothers,7.0, 791,99
50. Sunshine,7.0, 791,91
51. Below the Rim,7.0, 791,89
52. Minor Leaguer,7.0, 791,77
53. Kulej. Dwie strony medalu,7.0, 791,148
54. Vijay 69,7.0, 791,112
55. Topuria Matador,7.0, 791,95
56. The Final: Attack on Wembley,7.0, 791,82
57. GG,7.0, 791,100
58. Hayatla Baris,7.0, 791,125
59. Undisputed,7.0, 791,64
60. Grace by Night,7.0, 791,N/A
61. Pierce,7.0, 791,109
62. Friendly Fire,7.0, 791,105
63. Las super estrellas de la lucha libre,7.0, 791,98
64. Fight Like a Girl,7.0, 791,N/A
65. Nasty,7.0, 791,103
66. Off the Line,7.0, 791,N/A
67. Lyod 3,7.0, 791,134
68. Ski,7.0, 791,95
69. Tracing the Divide,7.0, 791,84
70. Wingless,7.0, 791,110
71. Concussed: The American Dream,7.0, 791,N/A
72. Nayab,7.0, 791,153
73. Champions of the Golden Valley,7.0, 791,81
74. See Her Be Her,7.0, 791,110
75. Cup,7.0, 791,146
76. It's All Over: The Kiss That Changed Spanish Football,7.0, 791,95
77. All American,7.0, 791,87
78. Passion of Iron,7.0, 791,N/A
79. Puffing Iron,7.0, 791,98
80. Lal Salaam,7.0, 791,150
81. Unbreakable: England 2003,7.0, 791,66
82. Fuchsia Libre,7.0, 791,112
83. Deathgrip 2,7.0, 791,59
84. Gold,7.0, 791,126
85. In Inima Nationalei,7.0, 791,103
86. Dabaru,7.0, 791,131
87. Salty Amazons,7.0, 791,32
88. Harimau Malaya: The Untold Journey,7.0, 791,125
89. Game Changers,7.0, 791,78
90. Runaway Wrestler,7.0, 791,105
91. Parviz Khan,7.0, 791,110
92. Keluar Main 1994,7.0, 791,112
93. EFC,7.0, 791,87
94. Argentina '78,7.0, 791,N/A
95. Padu,7.0, 791,97
96. Fedya. Narodnyy futbolist,7.0, 791,125
97. Final Heat,7.0, 791,83
98. No Means No,7.0, 791,N/A
99. Knockout Blonde: The Kellie Maloney Story,7.0, 791,90
100. Patang,7.0, 791,N/A
