Movie Name,Rating,Votes,Duration (minutes)
1. Heretic,7.0, 119K,111
2. Conclave,7.0, 119K,120
3. Kraven the Hunter,7.0, 119K,127
4. Emilia Pérez,7.0, 119K,132
5. Babygirl,7.0, 119K,114
6. Trap,7.0, 119K,105
7. Venom: The Last Dance,7.0, 119K,110
8. Presence,7.0, 119K,84
9. Longlegs,7.0, 119K,101
10. Pushpa: The Rule - Part 2,7.0, 119K,201
11. September 5,7.0, 119K,95
12. Blink Twice,7.0, 119K,102
13. The Order,7.0, 119K,116
14. Elevation,7.0, 119K,91
15. Smile 2,7.0, 119K,127
16. Furiosa: A Mad Max Saga,7.0, 119K,148
17. Eden,7.0, 119K,120
18. Borderlands,7.0, 119K,101
19. Juror #2,7.0, 119K,114
20. Alien: Romulus,7.0, 119K,119
21. Hellboy: The Crooked Man,7.0, 119K,99
22. Subservience,7.0, 119K,106
23. Speak No Evil,7.0, 119K,110
24. Twisters,7.0, 119K,122
25. Civil War,7.0, 119K,109
26. The Count of Monte-Cristo,7.0, 119K,178
27. The Watchers,7.0, 119K,102
28. The Beekeeper,7.0, 119K,105
29. Carry-On,7.0, 119K,119
30. Marco,7.0, 119K,145
31. F*** Marry Kill,7.0, 119K,97
32. Abigail,7.0, 119K,109
33. Rebel Ridge,7.0, 119K,131
34. A Different Man,7.0, 119K,112
35. Joker: Folie à Deux,7.0, 119K,138
36. Wolfs,7.0, 119K,108
37. Homestead,7.0, 119K,112
38. The Crow,7.0, 119K,111
39. The Rule of Jenny Pen,7.0, 119K,104
40. Kingdom of the Planet of the Apes,7.0, 119K,145
41. Road House,7.0, 119K,121
42. The Surfer,7.0, 119K,103
43. Oddity,7.0, 119K,98
44. The Seed of the Sacred Fig,7.0, 119K,167
45. Bad Boys: Ride or Die,7.0, 119K,115
46. Love Lies Bleeding,7.0, 119K,104
47. A Quiet Place: Day One,7.0, 119K,99
48. It's What's Inside,7.0, 119K,103
49. Lucky Baskhar,7.0, 119K,148
50. Caddo Lake,7.0, 119K,103
51. Land of Bad,7.0, 119K,113
52. The Killer's Game,7.0, 119K,104
53. Argylle,7.0, 119K,139
54. In a Violent Nature,7.0, 119K,94
55. Madame Web,7.0, 119K,116
56. Cuckoo,7.0, 119K,102
57. The Luckiest Man in America,7.0, 119K,90
58. Godzilla x Kong: The New Empire,7.0, 119K,115
59. Dirty Angels,7.0, 119K,104
60. The Union,7.0, 119K,107
61. Monkey Man,7.0, 119K,121
62. Don't Move,7.0, 119K,92
63. Aftermath,7.0, 119K,97
64. Immaculate,7.0, 119K,89
65. Distant,7.0, 119K,87
66. Cellar Door,7.0, 119K,97
67. The Shrouds,7.0, 119K,119
68. Drive-Away Dolls,7.0, 119K,84
69. Werewolves,7.0, 119K,93
70. Dead Money,7.0, 119K,100
71. Bonhoeffer: Pastor. Spy. Assassin.,7.0, 119K,133
72. We Bury the Dead,7.0, 119K,94
73. Miller's Girl,7.0, 119K,93
74. Absolution,7.0, 119K,112
75. Salem's Lot,7.0, 119K,114
76. Arcadian,7.0, 119K,92
77. Sleeping Dogs,7.0, 119K,110
78. The Instigators,7.0, 119K,101
79. Lift,7.0, 119K,107
80. Beverly Hills Cop: Axel F,7.0, 119K,118
81. The Killer,7.0, 119K,126
82. Apartment 7A,7.0, 119K,107
83. Mothers' Instinct,7.0, 119K,94
84. MadS,7.0, 119K,89
85. Apocalypse Z: The Beginning of the End,7.0, 119K,117
86. The Silent Hour,7.0, 119K,99
87. Maharaja,7.0, 119K,141
88. Classified,7.0, 119K,105
89. Kalki 2898 AD,7.0, 119K,180
90. Slingshot,7.0, 119K,108
91. Time Cut,7.0, 119K,91
92. The Devil's Bath,7.0, 119K,121
93. The Last Breath,7.0, 119K,96
94. Winnie-the-Pooh: Blood and Honey 2,7.0, 119K,93
95. The Silent Planet,7.0, 119K,95
96. Killer Heat,7.0, 119K,95
97. Atlas,7.0, 119K,118
98. Guilty Pleasure,7.0, 119K,119
99. Exhuma,7.0, 119K,134
100. The Deliverance,7.0, 119K,112
101. Canary Black,7.0, 119K,101
102. Baby John,7.0, 119K,159
103. Survive,7.0, 119K,90
104. Long Gone Heroes,7.0, 119K,101
105. Weekend in Taipei,7.0, 119K,100
106. Afraid,7.0, 119K,84
107. Force of Nature: The Dry 2,7.0, 119K,120
108. Things Will Be Different,7.0, 119K,102
109. Grafted,7.0, 119K,96
110. Cold Wallet,7.0, 119K,93
111. Black Dog,7.0, 119K,116
112. Sumala,7.0, 119K,112
113. Never Let Go,7.0, 119K,101
114. Sookshma Darshini,7.0, 119K,142
115. Footage,7.0, 119K,124
116. Fear,7.0, 119K,115
117. Winner,7.0, 119K,103
118. Under Paris,7.0, 119K,104
119. La Cocina,7.0, 119K,139
120. Kishkindha Kaandam,7.0, 119K,133
121. Levels,7.0, 119K,93
122. Dominique,7.0, 119K,100
123. The Shadow Strays,7.0, 119K,144
124. The Platform 2,7.0, 119K,99
125. Undercover,7.0, 119K,100
126. The Wasp,7.0, 119K,96
127. Armor,7.0, 119K,89
128. The One That Got Away,7.0, 119K,56
129. Trigger Warning,7.0, 119K,106
130. The Mouse Trap,7.0, 119K,80
131. Die Alone,7.0, 119K,91
132. 2073,7.0, 119K,85
133. Amber Alert,7.0, 119K,90
134. Trapped Inn,7.0, 119K,115
135. Rich Flu,7.0, 119K,116
136. Blackwater Lane,7.0, 119K,108
137. Waves,7.0, 119K,131
138. The Inheritance,7.0, 119K,85
139. Twilight of the Warriors: Walled In,7.0, 119K,126
140. Night Swim,7.0, 119K,98
141. Bramayugam,7.0, 119K,139
142. Humane,7.0, 119K,93
143. Boneyard,7.0, 119K,96
144. The Painter,7.0, 119K,100
145. Last Night on Earth,7.0, 119K,86
146. Jacob Tyler,7.0, 119K,133
147. Legally Veer,7.0, 119K,142
148. Chief of Station,7.0, 119K,97
149. A Sacrifice,7.0, 119K,94
150. Succubus,7.0, 119K,103
151. Sons,7.0, 119K,100
152. Sting,7.0, 119K,91
153. Take Cover,7.0, 119K,90
154. Bring Them Down,7.0, 119K,106
155. Breathe,7.0, 119K,93
156. Lembayung,7.0, 119K,123
157. No Way Up,7.0, 119K,90
158. The Exorcism,7.0, 119K,95
159. The Calendar Killer,7.0, 119K,97
160. Red Right Hand,7.0, 119K,111
161. Santosh,7.0, 119K,128
162. 11 Rebels,7.0, 119K,155
163. The Painted,7.0, 119K,85
164. Inside,7.0, 119K,104
165. The Front Room,7.0, 119K,94
166. V/H/S/Beyond,7.0, 119K,114
167. The Girl in the Pool,7.0, 119K,89
168. Outbreak,7.0, 119K,88
169. Mea Culpa,7.0, 119K,120
170. Reawakening,7.0, 119K,90
171. Bad Genius,7.0, 119K,96
172. Hold Your Breath,7.0, 119K,94
173. Ask Me What You Want,7.0, 119K,114
174. Skincare,7.0, 119K,96
175. Outside,7.0, 119K,142
176. Imaginary,7.0, 119K,104
177. Bedspacer,7.0, 119K,90
178. Vanished Into the Night,7.0, 119K,92
179. Dead Sea,7.0, 119K,88
180. Sector 36,7.0, 119K,123
181. Magpie,7.0, 119K,90
182. Night Call,7.0, 119K,97
183. Damaged,7.0, 119K,97
184. Something in the Water,7.0, 119K,86
185. Colors of Evil: Red,7.0, 119K,111
186. Echo 8,7.0, 119K,96
187. Relay,7.0, 119K,112
188. The Redemption of Sin,7.0, 119K,116
189. Mørkeland,7.0, 119K,99
190. Faultline,7.0, 119K,92
"191. I, the Executioner",7.0, 119K,118
192. Prey,7.0, 119K,86
193. The Sand Castle,7.0, 119K,98
194. The Windigo,7.0, 119K,85
195. Code 8: Part II,7.0, 119K,100
196. Depravity,7.0, 119K,117
197. Bogota: City of the Lost,7.0, 119K,108
198. Uprising,7.0, 119K,126
199. Tyler Perry's Divorce in the Black,7.0, 119K,143
200. River of Blood,7.0, 119K,86
201. Restless,7.0, 119K,89
202. Maharaj,7.0, 119K,131
203. Lake George,7.0, 119K,118
204. Harbin,7.0, 119K,108
205. Do Patti,7.0, 119K,126
206. Curse of the Sin Eater,7.0, 119K,90
207. Shell,7.0, 119K,100
208. The American Backyard,7.0, 119K,107
209. Way Home,7.0, 119K,98
210. Detained,7.0, 119K,97
211. Badland Hunters,7.0, 119K,107
212. The Courier,7.0, 119K,101
213. The Soul Eater,7.0, 119K,108
214. Blood Star,7.0, 119K,97
215. Sikandar Ka Muqaddar,7.0, 119K,142
216. Drive Back,7.0, 119K,94
217. Curse of the Seven Oceans,7.0, 119K,94
218. The Price of Money: A Largo Winch Adventure,7.0, 119K,100
219. Desert Fiends,7.0, 119K,106
220. Love Me Dead,7.0, 119K,87
221. Joe Baby,7.0, 119K,86
222. The Roundup: Punishment,7.0, 119K,109
223. Darkest Miriam,7.0, 119K,87
224. One More Shot,7.0, 119K,103
225. Arena Wars,7.0, 119K,96
226. Here Now,7.0, 119K,118
227. Clear Cut,7.0, 119K,88
228. Mafia Wars,7.0, 119K,94
229. Marmalade,7.0, 119K,99
230. Raayan,7.0, 119K,145
231. Shelby Oaks,7.0, 119K,99
232. Elyas,7.0, 119K,105
233. House of Spoils,7.0, 119K,101
234. The Image of You,7.0, 119K,90
235. Barron's Cove,7.0, 119K,116
236. Lights Out,7.0, 119K,90
237. Article 370,7.0, 119K,158
238. Devara Part 1,7.0, 119K,176
239. Laws of Man,7.0, 119K,98
240. Strictly Confidential,7.0, 119K,94
241. 1978,7.0, 119K,76
242. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.0, 119K,104
243. Air Force One Down,7.0, 119K,84
244. The Intruder,7.0, 119K,101
245. The Wages of Fear,7.0, 119K,104
246. Unspeakable: Beyond the Wall of Sleep,7.0, 119K,90
247. The Prosecutor,7.0, 119K,117
248. Bosco,7.0, 119K,99
249. The Bad Shepherd,7.0, 119K,91
250. Motel Destino,7.0, 119K,115
251. A Mistake,7.0, 119K,101
252. Darkness of Man,7.0, 119K,109
253. Milk & Serial,7.0, 119K,62
254. Mom,7.0, 119K,95
255. Operation Blood Hunt,7.0, 119K,93
256. Chime,7.0, 119K,45
257. The Contract,7.0, 119K,105
258. Jigra,7.0, 119K,153
259. Taboo: Family Secrets,7.0, 119K,95
260. Angels Fallen: Warriors of Peace,7.0, 119K,103
261. Cult Killer,7.0, 119K,105
262. Out Come the Wolves,7.0, 119K,86
263. Black Cab,7.0, 119K,88
264. Karma,7.0, 119K,167
265. You Can't Run Forever,7.0, 119K,102
266. Everyone Is Going to Die,7.0, 119K,84
267. Sugar Baby,7.0, 119K,88
268. Bougainvillea,7.0, 119K,138
269. Race for Glory: Audi vs. Lancia,7.0, 119K,109
270. Peter Five Eight,7.0, 119K,100
271. Hidden Face,7.0, 119K,115
272. Queen of Bones,7.0, 119K,90
273. Parallel,7.0, 119K,88
274. Cinderella's Curse,7.0, 119K,82
275. Bad Fish,7.0, 119K,84
276. Shaitaan,7.0, 119K,132
277. Cloud,7.0, 119K,123
278. Utopia,7.0, 119K,91
279. Latency,7.0, 119K,94
280. Steal Her Breath,7.0, 119K,110
281. Murder at Hollow Creek,7.0, 119K,N/A
282. The Thundermans Return,7.0, 119K,70
283. Manjummel Boys,7.0, 119K,135
284. Rippy,7.0, 119K,83
285. CTRL,7.0, 119K,99
286. Hisaab Barabar,7.0, 119K,112
287. Succubus,7.0, 119K,96
288. Crescent City,7.0, 119K,103
289. Ghost Trail,7.0, 119K,106
290. Boundless,7.0, 119K,121
291. Death Whisperer 2,7.0, 119K,110
292. Decoded,7.0, 119K,156
293. 5lbs of Pressure,7.0, 119K,111
294. Beezel,7.0, 119K,81
295. Sucha Soorma,7.0, 119K,136
296. DarkGame,7.0, 119K,100
297. Freedom,7.0, 119K,110
298. Goldilocks and the Three Bears: Death and Porridge,7.0, 119K,82
299. Lazareth,7.0, 119K,86
300. American Star,7.0, 119K,107
301. Perewangan,7.0, 119K,109
302. Guns & Moses,7.0, 119K,94
303. #AMFAD: All My Friends Are Dead,7.0, 119K,91
304. Life After Fighting,7.0, 119K,126
305. McVeigh,7.0, 119K,90
306. Three Kilometres to the End of the World,7.0, 119K,105
307. The Smile Man,7.0, 119K,122
308. Freelance,7.0, 119K,110
309. Ferry 2,7.0, 119K,94
310. The Company Called Glitch That Nobody and Everybody Wanted,7.0, 119K,107
311. Wynonna Earp: Vengeance,7.0, 119K,96
312. King Ivory,7.0, 119K,130
313. Compulsion,7.0, 119K,94
314. Seven Cemeteries,7.0, 119K,84
315. Cinderella's Revenge,7.0, 119K,85
316. Cellphone,7.0, 119K,88
317. The Body,7.0, 119K,116
318. Wanted Man,7.0, 119K,85
319. Here After,7.0, 119K,93
320. To a Land Unknown,7.0, 119K,105
321. Hijack 1971,7.0, 119K,100
322. Konchitsya leto,7.0, 119K,118
323. Thalavan,7.0, 119K,131
324. The Diary,7.0, 119K,82
325. Are You There?,7.0, 119K,88
326. Shoutai,7.0, 119K,120
327. Bloodline Killer,7.0, 119K,105
328. The Greatest of All Time,7.0, 119K,183
329. Alien: Rubicon,7.0, 119K,86
330. Thrayam,7.0, 119K,114
331. Zero,7.0, 119K,88
332. Saripodhaa Sanivaaram,7.0, 119K,166
333. The Clean Up Crew,7.0, 119K,95
334. Grave Torture,7.0, 119K,117
335. Escape,7.0, 119K,94
336. The Sabarmati Report,7.0, 119K,127
337. Electra,7.0, 119K,85
338. Blame the Game,7.0, 119K,92
339. Shadow Land,7.0, 119K,89
340. Viduthalai Part 2,7.0, 119K,170
341. Dead Talents Society,7.0, 119K,105
342. The Hangman,7.0, 119K,92
343. Model House,7.0, 119K,85
344. Savi,7.0, 119K,126
345. Stolen,7.0, 119K,105
346. Believer,7.0, 119K,108
347. Ulajh,7.0, 119K,150
348. Held Hostage in My House,7.0, 119K,90
349. Temurun,7.0, 119K,85
350. The Good Teacher,7.0, 119K,91
351. Lost Angels,7.0, 119K,96
352. Anweshippin Kandethum,7.0, 119K,142
353. The Cut,7.0, 119K,99
354. Sunrise,7.0, 119K,93
355. Saint Clare,7.0, 119K,92
356. Kanguva,7.0, 119K,152
357. 1 Million Followers,7.0, 119K,101
358. We Are Wolves,7.0, 119K,97
359. Haunted Heart,7.0, 119K,128
360. Escape,7.0, 119K,129
361. Went Up the Hill,7.0, 119K,100
362. Shark Girl,7.0, 119K,82
363. Bystanders,7.0, 119K,82
364. Witch,7.0, 119K,107
365. 72 Hours,7.0, 119K,87
366. Heart of the Hunter,7.0, 119K,105
367. He Ain't Heavy,7.0, 119K,102
368. Maid Droid Origins,7.0, 119K,96
369. My Nanny Stole My Life,7.0, 119K,N/A
370. The Last Front,7.0, 119K,98
371. You Shall Not Sleep Tonight,7.0, 119K,77
372. Previously Saved Version,7.0, 119K,117
373. The Corpse Washer,7.0, 119K,107
374. Spirit in the Blood,7.0, 119K,98
375. Love Bomb,7.0, 119K,75
376. Vedaa,7.0, 119K,145
377. 40 Acres,7.0, 119K,113
378. Junction,7.0, 119K,98
379. The Monster Beneath Us,7.0, 119K,103
380. Séance Games: Metaxu,7.0, 119K,86
381. Roadkill,7.0, 119K,90
382. How to Make a Killing,7.0, 119K,109
383. The Kingdom,7.0, 119K,108
384. Sharp Corner,7.0, 119K,110
385. Crosspoint,7.0, 119K,100
386. Don't Mess with Grandma,7.0, 119K,81
387. Familia,7.0, 119K,120
388. Please Don't Feed the Children,7.0, 119K,94
389. Invasion,7.0, 119K,91
390. Dead Mail,7.0, 119K,106
391. Eat the Night,7.0, 119K,106
392. Strangers,7.0, 119K,106
393. Beacon,7.0, 119K,96
394. Big Rage,7.0, 119K,115
395. Karma's a Bitch,7.0, 119K,89
396. All the Lost Ones,7.0, 119K,105
397. 12 to Midnight,7.0, 119K,96
398. Fluxx,7.0, 119K,N/A
399. Sweet Simona,7.0, 119K,88
400. Non Negotiable,7.0, 119K,87
401. Maldoror,7.0, 119K,155
402. Serpent's Path,7.0, 119K,112
403. Justicia artificial,7.0, 119K,98
404. Belle,7.0, 119K,100
405. Despatch,7.0, 119K,153
406. Frankenstein: Legacy,7.0, 119K,101
407. Merry Christmas,7.0, 119K,144
408. Beyond the Rush,7.0, 119K,94
409. The Long Game,7.0, 119K,88
410. What Happened to Suzy,7.0, 119K,94
411. Continental Split,7.0, 119K,88
412. Black Heat,7.0, 119K,93
413. Hijack '93,7.0, 119K,87
414. Sew Torn,7.0, 119K,100
415. Black,7.0, 119K,115
416. Rest in Peace,7.0, 119K,105
417. She Came Back,7.0, 119K,83
418. Butas,7.0, 119K,112
419. Black Eyed Susan,7.0, 119K,85
420. Salve Maria,7.0, 119K,111
421. Out of Control,7.0, 119K,111
422. Bade Miyan Chote Miyan,7.0, 119K,163
423. Bionic,7.0, 119K,110
424. Last Night at Terrace Lanes,7.0, 119K,75
425. The Correspondent,7.0, 119K,119
426. Stranger in the Woods,7.0, 119K,82
427. War Game,7.0, 119K,94
428. Wineville,7.0, 119K,100
429. They Whisper,7.0, 119K,90
430. Salawahan,7.0, 119K,116
431. Last Known Location,7.0, 119K,110
432. Blackout,7.0, 119K,122
433. La Familia,7.0, 119K,N/A
434. Mommy Meanest,7.0, 119K,87
435. Why Do You?,7.0, 119K,103
436. Smoke Signals,7.0, 119K,95
437. Following,7.0, 119K,102
438. The Manifestation,7.0, 119K,84
439. Crakk: Jeetega... Toh Jiyegaa,7.0, 119K,154
440. Balestra,7.0, 119K,145
441. ClearMind,7.0, 119K,85
442. Blue Lock: Episode Nagi,7.0, 119K,91
443. Art of Eight Limbs,7.0, 119K,101
444. Yodha,7.0, 119K,130
445. Cora,7.0, 119K,100
446. Karl Denke,7.0, 119K,102
447. Go Away,7.0, 119K,N/A
448. Thiru.Manickam,7.0, 119K,122
449. The Wingwalker,7.0, 119K,117
450. Adopted,7.0, 119K,83
451. Grassland,7.0, 119K,88
452. Unit 234,7.0, 119K,86
453. Mother Father Sister Brother Frank,7.0, 119K,85
454. Altered Reality,7.0, 119K,99
455. Spithood,7.0, 119K,58
456. Gazer,7.0, 119K,114
457. Ballot,7.0, 119K,102
458. Possession: Kerasukan,7.0, 119K,94
459. Tezgah,7.0, 119K,100
460. Phir Aayi Hasseen Dillruba,7.0, 119K,132
461. Hunting with Tigers,7.0, 119K,109
462. Haunt Season,7.0, 119K,81
463. The Paradise of Thorns,7.0, 119K,131
464. Chapel,7.0, 119K,92
465. Till Death Do Us Part,7.0, 119K,N/A
466. From Darkness,7.0, 119K,95
467. Hard Home,7.0, 119K,87
468. Firecracker,7.0, 119K,107
469. Stepmom from Hell,7.0, 119K,88
470. Hellhound,7.0, 119K,103
471. Bloodline,7.0, 119K,80
472. Obayifo Project,7.0, 119K,71
473. Spring Garden,7.0, 119K,90
474. A Desert,7.0, 119K,103
475. Drone,7.0, 119K,110
476. Bone Lake,7.0, 119K,94
477. The Shameless,7.0, 119K,114
478. From Embers,7.0, 119K,99
479. Borderless Fog,7.0, 119K,110
480. The Stalking,7.0, 119K,72
481. Once Upon a Time in Hollyweird,7.0, 119K,90
482. Dirty Boy,7.0, 119K,98
483. The Girl Who Wore Yellow Lace,7.0, 119K,82
484. Shark Warning,7.0, 119K,94
485. Steppenwolf,7.0, 119K,102
486. Somebody,7.0, 119K,112
487. Chateau,7.0, 119K,83
488. Scorched Earth,7.0, 119K,101
489. Boksi Ko Ghar,7.0, 119K,116
490. I Am Kathalan,7.0, 119K,115
491. Woman with the Red Lipstick,7.0, 119K,87
492. Abraham Ozler,7.0, 119K,143
493. Tacoma,7.0, 119K,103
494. Texas Cult House,7.0, 119K,N/A
495. In Our Blood,7.0, 119K,89
496. Wake,7.0, 119K,85
