Movie Name,Rating,Votes,Duration (minutes)
1. Horizon: An American Saga - Chapter 1,6.7, 39K,181
2. Rust,6.7, 39K,133
3. Horizon: An American Saga - Chapter 2,6.7, 39K,190
4. The Thicket,6.7, 39K,108
5. The Unholy Trinity,6.7, 39K,93
6. Pedro Páramo,6.7, 39K,130
7. Calamity Jane,6.7, 39K,95
8. Golden Kamuy,6.7, 39K,127
9. Buffalo Kids,6.7, 39K,93
10. Seven Cemeteries,6.7, 39K,84
11. The Ballad of Davy Crockett,6.7, 39K,96
12. Outlaw Posse,6.7, 39K,108
13. Over the Red River,6.7, 39K,83
14. Black Creek,6.7, 39K,116
15. Taken from Rio Bravo,6.7, 39K,80
16. Eye for an Eye 2,6.7, 39K,90
17. The Guardsmen,6.7, 39K,N/A
18. Unnatural,6.7, 39K,104
19. Paradise,6.7, 39K,83
20. The Night They Came Home,6.7, 39K,105
21. Fyre Rises,6.7, 39K,110
22. Ghosts of Red Ridge,6.7, 39K,81
23. Joe Crist,6.7, 39K,53
24. They Call Her Death,6.7, 39K,92
25. Andromeda: 1883,6.7, 39K,N/A
26. Doc Holliday 2,6.7, 39K,N/A
27. My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,6.7, 39K,74
28. Same Old West,6.7, 39K,98
29. Coyote Woman,6.7, 39K,110
30. Was Once a Hero,6.7, 39K,N/A
31. Bolero,6.7, 39K,N/A
32. Lady Outlaw,6.7, 39K,104
33. The Dakota War: Revenge,6.7, 39K,92
34. Oltre il confine,6.7, 39K,76
35. Hinter dem Eisernen Horizont,6.7, 39K,88
36. Astral Plane Drifter,6.7, 39K,N/A
37. Oro Amargo,6.7, 39K,83
38. Doc Holliday 3,6.7, 39K,N/A
39. Malaikottai Vaaliban,6.7, 39K,156
40. Harsh Treatment,6.7, 39K,N/A
41. A Almería de Leone,6.7, 39K,51
42. The Ecstasy of Gold: The Treasure of Jesse James,6.7, 39K,90
43. Escanyapobres,6.7, 39K,102
44. Death After Dusk,6.7, 39K,140
45. Searching for the Elephant,6.7, 39K,116
46. Zoloto Umalty,6.7, 39K,109
47. Once Upon a Time in Amityville,6.7, 39K,73
48. In Search of Bass Reeves,6.7, 39K,105
49. Myall Creek Day of Justice,6.7, 39K,78
50. Dans l'ombre de Marlow,6.7, 39K,80
51. The Film Café,6.7, 39K,N/A
52. The Guardsmen: Part 2,6.7, 39K,N/A
53. Ghost Town,6.7, 39K,N/A
54. El Vaquero,6.7, 39K,93
55. The forgotten Winchester,6.7, 39K,N/A
56. The Cowboy Capital,6.7, 39K,N/A
57. Jama,6.7, 39K,71
58. The Guardsmen: Part 3,6.7, 39K,N/A
59. A Cowboy Against Thunder,6.7, 39K,N/A
60. The Partners,6.7, 39K,58
61. The Wicked: Reborn,6.7, 39K,N/A
62. Blood Corral,6.7, 39K,N/A
63. The Legacy of the 12 Westerns,6.7, 39K,N/A
64. Travesty,6.7, 39K,78
65. Boot Hill,6.7, 39K,N/A
66. Mr. Pettigrew,6.7, 39K,N/A
67. Bo Nan Za,6.7, 39K,61
68. Last Flamingo of the Red Summer Sunset,6.7, 39K,80
69. The Wolf in the Chute,6.7, 39K,33
70. Adiós al amigo,6.7, 39K,118
71. Guns Blazin,6.7, 39K,88
72. Buried on Shine Mountain,6.7, 39K,N/A
73. The Ballad of Winchester Pete,6.7, 39K,N/A
74. Vadogga,6.7, 39K,85
75. Morningstar,6.7, 39K,84
76. Pale Moon,6.7, 39K,N/A
77. 12 Million Dollar Movie on Paper,6.7, 39K,N/A
78. Goin' Home,6.7, 39K,91
79. The Golden Ghosts,6.7, 39K,60
80. Sinners in the Hands of an Angry God,6.7, 39K,94
81. The Letter,6.7, 39K,N/A
82. Lolo & Sosaku: The Western Archive,6.7, 39K,66
83. The Stand at Alder Creek,6.7, 39K,53
84. TV Heroes of the Wild West,6.7, 39K,N/A
"85. The Goods, Bads and Uglys",6.7, 39K,N/A
86. Bullet or Rope,6.7, 39K,55
87. Attack on Tranquility,6.7, 39K,64
88. The Rattlesnake Twins,6.7, 39K,50
